order_id,customer_id,restaurant_id,item_id,rider_id,order_datetime,quantity,order_amount,discount_amount,delivery_fee,final_amount,order_status,hour,peak_hour_flag,weekend_flag,cancellation_flag,discount_percentage,estimated_profit,order_size
O0000044,C001914,R00113,M008853,D03648,2025-09-11 05:29:54,1,182,52,22,152,Delivered,5,0,0,0,28.57,30.4,Small
O0000045,C004638,R00094,M002675,D01150,2026-01-05 04:24:27,3,588,67,26,547,Delivered,4,0,0,0,11.39,109.4,Medium
O0000046,C004042,R00646,M010171,D03462,2025-07-09 06:59:08,3,672,94,34,612,Delivered,6,0,0,0,13.99,122.4,Medium
O0000047,C000593,R00601,M003914,D02321,2025-12-25 22:27:46,3,2052,25,37,2064,Delivered,22,0,0,0,1.22,412.8,Large
O0000048,C000875,R01363,M003339,D03959,2025-08-01 07:44:28,2,1042,11,27,1058,Delivered,7,0,0,0,1.06,211.6,Large
O0000049,C003308,R00970,M000720,D03857,2025-09-28 15:10:14,2,692,11,33,714,Delivered,15,0,1,0,1.59,142.8,Medium
O0000050,C000801,R00189,M011342,D03648,2025-11-30 14:42:51,4,1224,37,41,1228,Delivered,14,1,1,0,3.02,245.6,Large
O0000051,C004482,R00383,M014440,D03095,2025-12-24 12:21:39,3,1740,46,20,1714,Delivered,12,1,0,0,2.64,342.8,Large
O0000052,C000591,R01084,M007048,D00730,2026-04-22 09:30:11,4,2620,28,32,2624,Delivered,9,0,0,0,1.07,524.8,Large
O0000053,C002785,R00221,M007092,D03630,2026-02-13 16:56:53,2,1242,53,47,1236,Delivered,16,0,0,0,4.27,247.2,Large
O0000054,C003033,R00020,M013067,D01367,2026-04-20 06:56:25,2,460,22,38,476,Cancelled,6,0,0,1,4.78,95.2,Medium
O0000055,C003890,R01374,M005262,D03917,2025-10-17 22:36:04,2,1180,28,42,1194,Delivered,22,0,0,0,2.37,238.8,Large
O0000056,C004252,R01232,M007757,D03402,2026-04-20 16:15:21,2,1332,34,45,1343,Delivered,16,0,0,0,2.55,268.6,Large
O0000057,C000367,R01332,M004742,D03944,2025-12-16 14:23:13,2,708,36,29,701,Delivered,14,1,0,0,5.08,140.2,Medium
O0000058,C000638,R00611,M014934,D00690,2026-06-09 00:56:07,4,2324,32,43,2335,Delivered,0,0,0,0,1.38,467.0,Large
O0000059,C003090,R00717,M001022,D02089,2025-10-29 11:25:36,2,650,45,47,652,Delivered,11,0,0,0,6.92,130.4,Medium
O0000060,C000950,R00898,M008702,D01312,2026-03-11 21:44:57,3,1008,25,28,1011,Delivered,21,1,0,0,2.48,202.2,Large
O0000061,C002996,R01334,M001896,D03141,2025-11-16 18:51:31,1,447,49,26,424,Delivered,18,1,1,0,10.96,84.8,Medium
O0000062,C003744,R00785,M000436,D01987,2026-02-13 20:17:44,1,548,21,23,550,Delivered,20,1,0,0,3.83,110.0,Medium
O0000063,C003105,R00043,M011226,D02953,2026-03-03 17:52:00,1,100,11,55,144,Delivered,17,0,0,0,11.0,28.8,Small
O0000064,C001855,R00843,M000638,D00688,2025-10-20 06:13:29,4,2224,59,46,2211,Delivered,6,0,0,0,2.65,442.2,Large
O0000065,C001451,R00138,M010594,D02296,2025-08-03 06:19:38,3,1494,4,30,1520,Delivered,6,0,1,0,0.27,304.0,Large
O0000066,C004889,R01209,M007318,D02527,2025-10-30 02:49:00,1,561,29,47,579,Delivered,2,0,0,0,5.17,115.8,Medium
O0000067,C001458,R00870,M014442,D01144,2026-04-22 11:08:18,1,325,14,48,359,Delivered,11,0,0,0,4.31,71.8,Small
O0000068,C001919,R01037,M010408,D01374,2026-02-17 19:53:49,4,1636,40,24,1620,Delivered,19,1,0,0,2.44,324.0,Large
O0000069,C001891,R01324,M006596,D00210,2026-02-10 08:40:54,2,532,67,52,517,Delivered,8,0,0,0,12.59,103.4,Medium
O0000070,C001665,R00191,M005622,D00029,2026-02-04 09:45:21,1,492,40,57,509,Delivered,9,0,0,0,8.13,101.8,Medium
O0000071,C004880,R00002,M011704,D02103,2026-01-15 15:43:32,1,313,75,32,270,Delivered,15,0,0,0,23.96,54.0,Small
O0000072,C002594,R00055,M004004,D03019,2025-09-27 01:24:48,4,652,39,54,667,Delivered,1,0,1,0,5.98,133.4,Medium
O0000073,C003067,R01469,M004459,D00978,2025-09-20 19:13:21,1,426,32,42,436,Delivered,19,1,1,0,7.51,87.2,Medium
O0000074,C001051,R00050,M006987,D02270,2025-07-17 11:42:56,3,1908,91,40,1857,Delivered,11,0,0,0,4.77,371.4,Large
O0000075,C001127,R00410,M014485,D03700,2026-01-02 02:31:32,4,2728,56,42,2714,Delivered,2,0,0,0,2.05,542.8,Large
O0000076,C004531,R00728,M007514,D02450,2025-07-14 15:13:33,3,429,60,29,398,Delivered,15,0,0,0,13.99,79.6,Small
O0000077,C002145,R00920,M006346,D00493,2026-03-09 03:48:34,2,702,16,37,723,Delivered,3,0,0,0,2.28,144.6,Medium
O0000078,C002338,R00552,M007919,D01922,2025-08-01 17:42:38,4,2252,48,41,2245,Delivered,17,0,0,0,2.13,449.0,Large
O0000079,C001456,R00447,M011724,D00616,2026-01-26 06:37:42,1,294,77,40,257,Delivered,6,0,0,0,26.19,51.4,Small
O0000080,C002793,R00768,M013966,D03920,2025-07-26 01:11:40,3,762,34,31,759,Delivered,1,0,1,0,4.46,151.8,Medium
O0000081,C001837,R00793,M002474,D00423,2025-10-15 22:35:42,4,1680,67,56,1669,Delivered,22,0,0,0,3.99,333.8,Large
O0000082,C001141,R00276,M009058,D00807,2025-11-20 01:25:23,2,974,12,57,1019,Delivered,1,0,0,0,1.23,203.8,Large
O0000083,C002909,R00674,M011896,D03394,2025-07-02 11:43:25,2,942,70,39,911,Delivered,11,0,0,0,7.43,182.2,Large
O0000084,C000246,R00432,M001250,D00625,2025-08-11 03:36:46,3,972,31,39,980,Delivered,3,0,0,0,3.19,196.0,Large
O0000085,C003603,R00852,M006853,D00218,2025-10-31 20:56:23,4,2400,81,59,2378,Delivered,20,1,0,0,3.38,475.6,Large
O0000086,C003392,R00382,M009704,D03835,2026-02-11 15:07:45,1,447,60,41,428,Delivered,15,0,0,0,13.42,85.6,Medium
O0000087,C000152,R00364,M011810,D01604,2025-07-22 13:13:04,2,1112,14,54,1152,Delivered,13,1,0,0,1.26,230.4,Large
O0000088,C000491,R00550,M005455,D03471,2026-05-03 03:50:12,2,454,44,35,445,Delivered,3,0,1,0,9.69,89.0,Medium
O0000089,C001710,R00149,M003562,D03085,2025-10-19 08:06:07,2,1256,33,54,1277,Delivered,8,0,1,0,2.63,255.4,Large
O0000090,C002004,R00830,M006790,D02514,2025-06-26 00:42:24,3,411,40,58,429,Delivered,0,0,0,0,9.73,85.8,Medium
O0000091,C004503,R00997,M002694,D03668,2026-01-03 01:34:30,4,1080,19,51,1112,Delivered,1,0,1,0,1.76,222.4,Large
O0000092,C001359,R00042,M006710,D03124,2026-05-03 17:55:37,4,1476,61,27,1442,Delivered,17,0,1,0,4.13,288.4,Large
O0000093,C000756,R01247,M014473,D00168,2026-06-09 00:58:06,2,506,44,44,506,Delivered,0,0,0,0,8.7,101.2,Medium
O0000094,C001864,R00286,M008396,D02780,2026-04-15 08:19:34,4,2528,100,54,2482,Delivered,8,0,0,0,3.96,496.4,Large
O0000095,C000801,R00842,M003345,D02798,2025-07-15 12:13:51,4,1268,32,37,1273,Delivered,12,1,0,0,2.52,254.6,Large
O0000096,C004243,R01459,M004534,D03635,2026-02-05 06:12:16,2,516,48,33,501,Delivered,6,0,0,0,9.3,100.2,Medium
O0000097,C002949,R00343,M002777,D03680,2026-03-15 09:05:49,4,916,22,55,949,Delivered,9,0,1,0,2.4,189.8,Large
O0000098,C003689,R00368,M000192,D03632,2025-12-14 15:20:23,4,932,23,43,952,Delivered,15,0,1,0,2.47,190.4,Large
O0000099,C002540,R01411,M013631,D03458,2026-02-09 05:21:33,1,536,28,25,533,Delivered,5,0,0,0,5.22,106.6,Medium
O0000100,C002161,R00782,M006906,D01499,2025-12-21 05:17:23,3,792,14,40,818,Delivered,5,0,1,0,1.77,163.6,Medium
O0000101,C003147,R00692,M009890,D02831,2026-02-03 12:16:01,4,2088,29,35,2094,Cancelled,12,1,0,1,1.39,418.8,Large
O0000102,C004803,R00591,M003420,D02259,2025-08-26 08:19:01,4,488,39,48,497,Delivered,8,0,0,0,7.99,99.4,Medium
O0000103,C001956,R01284,M010470,D00154,2026-03-27 23:19:31,1,168,44,29,153,Delivered,23,0,0,0,26.19,30.6,Small
O0000104,C000922,R00698,M005053,D03618,2025-10-26 00:20:38,2,736,70,48,714,Delivered,0,0,1,0,9.51,142.8,Medium
O0000105,C002366,R01261,M001154,D01708,2025-11-25 14:49:00,1,476,4,30,502,Delivered,14,1,0,0,0.84,100.4,Medium
O0000106,C003649,R00917,M000806,D02972,2026-05-11 07:07:50,4,2656,61,26,2621,Delivered,7,0,0,0,2.3,524.2,Large
O0000107,C002975,R00175,M012249,D01213,2025-09-06 07:55:29,1,169,43,25,151,Delivered,7,0,1,0,25.44,30.2,Small
O0000108,C001793,R00759,M005304,D01059,2026-05-20 17:19:21,2,958,80,35,913,Delivered,17,0,0,0,8.35,182.6,Large
O0000109,C004879,R00850,M007333,D01704,2025-11-10 05:44:15,1,580,39,43,584,Delivered,5,0,0,0,6.72,116.8,Medium
O0000110,C000652,R01223,M013767,D02854,2026-04-09 14:13:12,2,698,16,22,704,Delivered,14,1,0,0,2.29,140.8,Medium
O0000111,C001518,R00814,M010702,D01516,2025-10-24 19:11:10,1,582,74,51,559,Cancelled,19,1,0,1,12.71,111.8,Medium
O0000112,C000486,R00813,M001488,D01504,2025-07-05 20:17:25,3,849,22,59,886,Delivered,20,1,1,0,2.59,177.2,Medium
O0000113,C003949,R00911,M001728,D01126,2025-11-07 07:59:22,3,1260,5,60,1315,Delivered,7,0,0,0,0.4,263.0,Large
O0000114,C000625,R00910,M005346,D02457,2026-05-14 16:59:31,1,689,35,51,705,Delivered,16,0,0,0,5.08,141.0,Medium
O0000115,C000679,R00570,M013301,D01008,2026-06-04 06:39:21,1,680,66,58,672,Delivered,6,0,0,0,9.71,134.4,Medium
O0000116,C001983,R01005,M000942,D02456,2025-08-02 17:11:10,1,408,24,50,434,Delivered,17,0,1,0,5.88,86.8,Medium
O0000117,C001175,R00467,M005924,D03002,2025-10-01 02:06:50,3,1317,44,24,1297,Delivered,2,0,0,0,3.34,259.4,Large
O0000118,C004279,R00237,M001812,D02687,2025-08-29 06:08:52,4,700,20,48,728,Delivered,6,0,0,0,2.86,145.6,Medium
O0000119,C003068,R01364,M012329,D01723,2025-08-04 09:25:25,4,764,32,25,757,Delivered,9,0,0,0,4.19,151.4,Medium
O0000120,C004068,R00879,M014756,D01595,2026-04-19 22:31:08,4,992,35,53,1010,Delivered,22,0,1,0,3.53,202.0,Large
O0000121,C001249,R00673,M005646,D03502,2026-05-04 11:08:22,4,484,69,20,435,Delivered,11,0,0,0,14.26,87.0,Medium
O0000122,C002376,R01220,M006215,D03974,2025-07-02 02:57:46,3,1554,44,54,1564,Delivered,2,0,0,0,2.83,312.8,Large
O0000123,C000876,R00120,M008235,D01032,2025-10-30 12:37:30,4,604,31,56,629,Delivered,12,1,0,0,5.13,125.8,Medium
O0000124,C002557,R01211,M002839,D00141,2026-02-15 09:06:28,4,2512,86,26,2452,Delivered,9,0,1,0,3.42,490.4,Large
O0000125,C000237,R00687,M014102,D03388,2025-10-31 09:37:23,4,2472,89,53,2436,Delivered,9,0,0,0,3.6,487.2,Large
O0000126,C004497,R00759,M014355,D02026,2026-03-02 11:54:30,1,619,34,47,632,Delivered,11,0,0,0,5.49,126.4,Medium
O0000127,C001672,R01337,M001477,D02056,2025-08-05 15:49:09,4,2284,40,25,2269,Delivered,15,0,0,0,1.75,453.8,Large
O0000128,C000315,R00548,M010614,D00923,2025-12-25 00:02:12,3,1650,61,28,1617,Delivered,0,0,0,0,3.7,323.4,Large
O0000129,C002798,R00414,M013357,D02471,2025-12-07 06:48:55,2,362,34,50,378,Delivered,6,0,1,0,9.39,75.6,Small
O0000130,C000825,R01125,M010569,D00887,2025-07-21 05:50:53,3,1743,66,35,1712,Cancelled,5,0,0,1,3.79,342.4,Large
O0000131,C002617,R01479,M013730,D01583,2026-05-15 16:11:41,3,1536,70,41,1507,Delivered,16,0,0,0,4.56,301.4,Large
O0000132,C000125,R00053,M001005,D03935,2025-12-17 05:19:53,2,780,71,44,753,Delivered,5,0,0,0,9.1,150.6,Medium
O0000133,C002682,R00331,M008003,D00395,2026-05-02 04:22:34,2,1118,75,48,1091,Delivered,4,0,1,0,6.71,218.2,Large
O0000134,C004727,R00074,M006677,D00480,2026-05-03 10:20:33,3,2055,46,26,2035,Delivered,10,0,1,0,2.24,407.0,Large
O0000135,C002724,R00218,M011345,D00454,2025-08-18 01:23:39,4,1852,100,29,1781,Delivered,1,0,0,0,5.4,356.2,Large
O0000136,C004311,R01176,M003860,D01238,2026-04-07 08:09:09,2,348,29,29,348,Delivered,8,0,0,0,8.33,69.6,Small
O0000137,C002085,R00641,M010495,D01417,2026-05-23 14:14:02,1,661,96,50,615,Delivered,14,1,1,0,14.52,123.0,Medium
O0000138,C000752,R00923,M001671,D01271,2025-08-15 23:31:54,1,251,32,50,269,Delivered,23,0,0,0,12.75,53.8,Small
O0000139,C000499,R00279,M005520,D03936,2026-01-07 10:43:21,2,636,44,42,634,Delivered,10,0,0,0,6.92,126.8,Medium
O0000140,C001815,R00937,M010338,D03384,2026-02-04 07:28:33,2,884,13,34,905,Delivered,7,0,0,0,1.47,181.0,Large
O0000141,C003728,R01088,M002015,D03828,2026-04-13 11:50:54,1,463,39,26,450,Delivered,11,0,0,0,8.42,90.0,Medium
O0000142,C003326,R00497,M013981,D01346,2026-03-28 07:22:56,4,2692,34,39,2697,Delivered,7,0,1,0,1.26,539.4,Large
O0000143,C002540,R01249,M002702,D02785,2025-12-09 08:56:27,4,2496,0,49,2545,Delivered,8,0,0,0,0.0,509.0,Large
O0000144,C001712,R01436,M006773,D02893,2025-08-16 04:37:51,2,194,42,49,201,Delivered,4,0,1,0,21.65,40.2,Small
O0000145,C001679,R00841,M002953,D01001,2025-11-14 06:41:10,2,1142,18,50,1174,Delivered,6,0,0,0,1.58,234.8,Large
O0000146,C002374,R00743,M002695,D02878,2026-02-16 18:54:10,1,591,79,32,544,Delivered,18,1,0,0,13.37,108.8,Medium
O0000147,C001403,R00086,M001386,D02492,2026-03-24 15:15:54,1,380,98,45,327,Delivered,15,0,0,0,25.79,65.4,Small
O0000148,C002816,R00947,M006391,D00811,2025-06-26 00:03:22,3,1164,1,26,1189,Delivered,0,0,0,0,0.09,237.8,Large
O0000149,C000201,R00463,M011997,D00749,2025-11-01 14:36:49,1,452,43,34,443,Delivered,14,1,1,0,9.51,88.6,Medium
O0000150,C002552,R01161,M009375,D00592,2026-03-08 03:26:34,2,942,36,37,943,Delivered,3,0,1,0,3.82,188.6,Large
O0000151,C004925,R00934,M001646,D01617,2025-08-27 09:25:28,2,378,54,54,378,Delivered,9,0,0,0,14.29,75.6,Small
O0000152,C004503,R01500,M008409,D00521,2025-07-16 09:35:05,3,948,45,43,946,Delivered,9,0,0,0,4.75,189.2,Large
O0000153,C001157,R00926,M007611,D00537,2026-03-05 12:07:00,1,627,76,57,608,Delivered,12,1,0,0,12.12,121.6,Medium
O0000154,C004087,R00904,M009422,D02274,2025-11-11 09:40:57,1,599,7,28,620,Delivered,9,0,0,0,1.17,124.0,Medium
O0000155,C003234,R01484,M009251,D02681,2025-10-09 01:10:38,3,1824,8,55,1871,Delivered,1,0,0,0,0.44,374.2,Large
O0000156,C004178,R00496,M013051,D03113,2025-12-17 05:13:51,3,1434,61,27,1400,Delivered,5,0,0,0,4.25,280.0,Large
O0000157,C003370,R00066,M011233,D00307,2026-04-05 07:52:27,1,682,36,35,681,Cancelled,7,0,1,1,5.28,136.2,Medium
O0000158,C001471,R00931,M007776,D02583,2025-10-13 04:00:36,2,402,90,23,335,Delivered,4,0,0,0,22.39,67.0,Small
O0000159,C003943,R01381,M000966,D01591,2025-07-08 19:19:20,4,600,48,28,580,Delivered,19,1,0,0,8.0,116.0,Medium
O0000160,C000073,R00815,M002203,D03734,2026-01-14 13:18:33,2,588,9,27,606,Delivered,13,1,0,0,1.53,121.2,Medium
O0000161,C000910,R00659,M000448,D02942,2026-02-25 02:14:18,2,186,12,46,220,Delivered,2,0,0,0,6.45,44.0,Small
O0000162,C001134,R00861,M001993,D01546,2026-01-31 17:16:33,2,740,42,36,734,Delivered,17,0,1,0,5.68,146.8,Medium
O0000163,C001727,R00777,M000380,D01201,2026-02-25 08:03:43,2,676,86,60,650,Delivered,8,0,0,0,12.72,130.0,Medium
O0000164,C000206,R01169,M000583,D02899,2026-04-21 04:01:56,3,825,65,56,816,Delivered,4,0,0,0,7.88,163.2,Medium
O0000165,C003679,R00200,M009572,D00932,2025-08-13 16:11:04,4,2112,27,37,2122,Delivered,16,0,0,0,1.28,424.4,Large
O0000166,C003687,R00410,M002239,D00280,2026-06-13 11:58:15,1,339,35,40,344,Delivered,11,0,1,0,10.32,68.8,Small
O0000167,C000468,R00621,M014265,D00729,2025-11-12 10:55:05,3,1254,28,21,1247,Delivered,10,0,0,0,2.23,249.4,Large
O0000168,C000354,R00684,M009819,D03269,2026-02-23 18:28:18,2,728,97,45,676,Delivered,18,1,0,0,13.32,135.2,Medium
O0000169,C000328,R00652,M003297,D03836,2026-05-03 07:54:20,1,375,69,36,342,Delivered,7,0,1,0,18.4,68.4,Small
O0000170,C004392,R00206,M008336,D02417,2026-03-09 01:27:09,2,780,34,47,793,Delivered,1,0,0,0,4.36,158.6,Medium
O0000171,C001864,R00113,M001425,D03961,2025-08-31 14:43:54,1,565,68,56,553,Delivered,14,1,1,0,12.04,110.6,Medium
O0000172,C001690,R00190,M003015,D00403,2026-04-05 19:34:45,1,201,41,51,211,Delivered,19,1,1,0,20.4,42.2,Small
O0000173,C000595,R00674,M000621,D03086,2025-10-04 22:10:51,3,498,42,44,500,Delivered,22,0,1,0,8.43,100.0,Medium
O0000174,C002123,R00566,M014603,D02781,2026-05-21 15:45:03,4,1384,29,20,1375,Delivered,15,0,0,0,2.1,275.0,Large
O0000175,C004125,R00928,M001170,D03047,2025-07-30 23:36:45,4,1252,51,38,1239,Delivered,23,0,0,0,4.07,247.8,Large
O0000176,C000112,R00040,M003926,D02255,2026-05-18 02:52:30,3,1245,40,44,1249,Delivered,2,0,0,0,3.21,249.8,Large
O0000177,C002906,R01386,M001243,D03270,2025-10-27 05:13:13,2,1144,56,23,1111,Delivered,5,0,0,0,4.9,222.2,Large
O0000178,C001786,R00576,M011964,D03224,2025-08-16 09:25:05,4,2532,22,46,2556,Delivered,9,0,1,0,0.87,511.2,Large
O0000179,C000772,R01022,M006003,D03061,2026-03-22 07:49:44,1,200,36,35,199,Delivered,7,0,1,0,18.0,39.8,Small
O0000180,C004429,R00563,M008857,D01983,2025-11-16 10:12:00,4,2508,11,56,2553,Delivered,10,0,1,0,0.44,510.6,Large
O0000181,C000313,R00855,M002326,D01657,2025-11-16 09:50:34,1,678,7,59,730,Delivered,9,0,1,0,1.03,146.0,Medium
O0000182,C003879,R01045,M011692,D02782,2026-06-06 02:43:50,1,86,19,33,100,Delivered,2,0,1,0,22.09,20.0,Small
O0000183,C003383,R00549,M001310,D00582,2025-12-08 08:25:28,2,1192,32,31,1191,Delivered,8,0,0,0,2.68,238.2,Large
O0000184,C004568,R00377,M004251,D02955,2026-05-13 14:36:04,2,470,33,49,486,Cancelled,14,1,0,1,7.02,97.2,Medium
O0000185,C001348,R00413,M006083,D00005,2025-11-08 06:44:36,2,1398,37,21,1382,Delivered,6,0,1,0,2.65,276.4,Large
O0000186,C000020,R00029,M010456,D00542,2026-03-30 05:45:00,3,816,54,56,818,Delivered,5,0,0,0,6.62,163.6,Medium
O0000187,C004855,R01406,M004792,D01084,2025-10-05 16:38:04,3,1728,57,36,1707,Delivered,16,0,1,0,3.3,341.4,Large
O0000188,C002705,R00168,M002470,D03557,2026-05-22 15:03:06,1,271,1,34,304,Delivered,15,0,0,0,0.37,60.8,Small
O0000189,C002026,R00092,M005873,D00708,2025-12-27 12:38:12,1,211,5,40,246,Delivered,12,1,1,0,2.37,49.2,Small
O0000190,C001691,R00546,M012898,D03734,2026-06-06 17:59:29,4,360,95,35,300,Delivered,17,0,1,0,26.39,60.0,Small
O0000191,C001626,R01042,M000385,D01175,2026-01-27 16:44:36,1,272,37,54,289,Delivered,16,0,0,0,13.6,57.8,Small
O0000192,C001586,R00480,M014048,D00197,2025-11-22 23:23:30,1,300,32,60,328,Delivered,23,0,1,0,10.67,65.6,Small
O0000193,C004099,R01418,M013574,D00779,2026-05-05 05:24:20,1,303,50,36,289,Delivered,5,0,0,0,16.5,57.8,Small
O0000194,C002123,R01289,M011055,D02160,2025-11-06 19:21:18,1,679,10,51,720,Delivered,19,1,0,0,1.47,144.0,Medium
O0000195,C000250,R00504,M004086,D01678,2025-07-29 13:47:24,1,129,69,44,104,Cancelled,13,1,0,1,53.49,20.8,Small
O0000196,C003867,R00859,M008932,D00414,2026-01-23 02:05:26,2,786,70,59,775,Delivered,2,0,0,0,8.91,155.0,Medium
O0000197,C000369,R00917,M005765,D02161,2025-09-30 00:21:32,2,308,26,44,326,Delivered,0,0,0,0,8.44,65.2,Small
O0000198,C002981,R00691,M006691,D03476,2026-05-03 06:48:32,3,1188,47,44,1185,Delivered,6,0,1,0,3.96,237.0,Large
O0000199,C000365,R00420,M006974,D03153,2025-08-05 09:29:56,3,630,8,22,644,Cancelled,9,0,0,1,1.27,128.8,Medium
