item_id,restaurant_id,cuisine_type,item_name,price,preparation_time
M000181,R00332,Biryani,Mutton Biryani,307,30
M000182,R00319,Chinese,Manchurian,587,41
M000183,R00997,North Indian,Paneer Butter Masala,606,15
M000184,R00889,South Indian,Masala Dosa,126,11
M000185,R01061,Burger,Cheese Burger,678,13
M000186,R00897,Burger,Cheese Burger,397,26
M000187,R01177,South Indian,Pongal,338,12
M000188,R01018,North Indian,Dal Makhani,179,11
M000189,R00075,North Indian,Dal Makhani,403,37
M000190,R00562,Biryani,Paneer Biryani,662,34
M000191,R01062,Chinese,Fried Rice,612,35
M000192,R00368,South Indian,Vada,233,30
M000193,R00155,South Indian,Vada,608,18
M000194,R00336,North Indian,Paneer Butter Masala,366,33
M000195,R00252,Chinese,Noodles,682,43
M000196,R01079,Healthy Foods,Grilled Chicken,297,36
M000197,R01168,Biryani,Chicken Biryani,127,44
M000198,R01495,North Indian,Chole Bhature,153,21
M000199,R01410,South Indian,Uttapam,192,15
M000200,R01128,Pizza,Margherita Pizza,478,24
M000201,R00007,South Indian,Idli,343,11
M000202,R00367,Chinese,Manchurian,351,25
M000203,R00567,Pizza,Pepperoni Pizza,102,29
M000204,R00239,South Indian,Idli,277,13
M000205,R00348,South Indian,Pongal,674,20
M000206,R00123,Biryani,Paneer Biryani,342,39
M000207,R01330,Burger,Veg Burger,469,22
M000208,R00889,South Indian,Idli,444,24
M000209,R01468,Beverages,Cold Coffee,264,37
M000210,R01323,Beverages,Mojito,645,37
M000211,R01244,Chinese,Manchurian,593,29
M000212,R00192,Chinese,Noodles,228,11
M000213,R00887,Biryani,Chicken Biryani,119,19
M000214,R01496,North Indian,Butter Naan,478,17
M000215,R00814,Pizza,Farmhouse Pizza,282,13
M000216,R00389,North Indian,Chole Bhature,383,41
M000217,R00189,Biryani,Veg Biryani,292,26
M000218,R01033,Beverages,Mojito,481,33
M000219,R01213,South Indian,Idli,514,38
M000220,R00268,South Indian,Idli,133,10
M000221,R00206,Biryani,Mutton Biryani,454,19
M000222,R01306,Healthy Foods,Protein Bowl,393,19
M000223,R01022,North Indian,Butter Naan,517,35
M000224,R01147,Burger,Cheese Burger,602,43
M000225,R00984,North Indian,Butter Naan,514,28
M000226,R01401,South Indian,Pongal,304,25
M000227,R00170,North Indian,Dal Makhani,158,22
M000228,R00271,Chinese,Spring Roll,685,19
M000229,R01138,Healthy Foods,Grilled Chicken,303,38
M000230,R00166,Healthy Foods,Grilled Chicken,315,16
M000231,R00358,South Indian,Uttapam,478,37
M000232,R00828,South Indian,Vada,219,18
M000233,R01317,Pizza,Farmhouse Pizza,164,39
M000234,R00623,South Indian,Uttapam,337,44
M000235,R01227,South Indian,Uttapam,339,30
M000236,R01479,Healthy Foods,Salad Bowl,270,20
M000237,R00976,Biryani,Paneer Biryani,146,34
M000238,R01292,South Indian,Idli,478,17
M000239,R00039,South Indian,Uttapam,576,36
M000240,R01433,Pizza,Veg Pizza,90,24
M000241,R00165,Burger,Cheese Burger,444,41
M000242,R00663,Chinese,Spring Roll,284,31
M000243,R00794,Biryani,Paneer Biryani,349,18
M000244,R01110,South Indian,Masala Dosa,178,25
M000245,R00464,Pizza,Veg Pizza,246,34
M000246,R00233,Pizza,Pepperoni Pizza,618,25
M000247,R00254,Biryani,Veg Biryani,139,41
M000248,R00703,Chinese,Noodles,285,33
M000249,R01368,South Indian,Vada,581,19
M000250,R01266,Pizza,Margherita Pizza,328,27
M000251,R00227,Biryani,Veg Biryani,618,36
M000252,R01176,Healthy Foods,Protein Bowl,698,21
M000253,R00233,Pizza,Farmhouse Pizza,688,12
M000254,R01342,Biryani,Veg Biryani,391,43
M000255,R01468,Beverages,Lemon Juice,131,23
M000256,R01396,Chinese,Fried Rice,85,36
M000257,R01050,Biryani,Paneer Biryani,128,39
M000258,R00471,Chinese,Spring Roll,162,38
M000259,R01480,Biryani,Paneer Biryani,438,10
M000260,R01067,North Indian,Dal Makhani,195,35
M000261,R01386,Desserts,Ice Cream,598,24
M000262,R00962,Desserts,Chocolate Cake,417,15
M000263,R00134,Pizza,Farmhouse Pizza,201,23
M000264,R00534,Chinese,Fried Rice,195,11
M000265,R00926,Chinese,Fried Rice,553,45
M000266,R00889,South Indian,Pongal,225,27
M000267,R00654,Biryani,Veg Biryani,461,23
M000268,R00777,North Indian,Dal Makhani,126,41
M000269,R01384,Desserts,Ice Cream,463,29
M000270,R00928,North Indian,Butter Naan,158,15
M000271,R01086,Pizza,Margherita Pizza,645,41
M000272,R00162,South Indian,Uttapam,347,25
M000273,R01127,North Indian,Chole Bhature,381,32
M000274,R00361,North Indian,Paneer Butter Masala,670,21
M000275,R01129,Burger,Chicken Burger,441,23
M000276,R00735,Burger,Veg Burger,457,36
M000277,R00624,North Indian,Chole Bhature,420,33
M000278,R00095,Healthy Foods,Grilled Chicken,289,25
M000279,R01368,South Indian,Vada,106,19
M000280,R00236,North Indian,Paneer Butter Masala,156,25
M000281,R00214,North Indian,Dal Makhani,218,32
M000282,R00008,South Indian,Vada,472,37
M000283,R01405,Chinese,Spring Roll,416,43
M000284,R00663,Chinese,Manchurian,433,35
M000285,R00613,Pizza,Veg Pizza,537,10
M000286,R00979,Chinese,Noodles,332,43
M000287,R00102,Burger,Cheese Burger,573,43
M000288,R00858,Burger,Veg Burger,217,12
M000289,R00912,Chinese,Noodles,545,27
M000290,R00119,North Indian,Chole Bhature,426,22
M000291,R00854,Biryani,Chicken Biryani,268,41
M000292,R00132,Biryani,Chicken Biryani,574,34
M000293,R00595,North Indian,Paneer Butter Masala,384,18
M000294,R00523,Chinese,Fried Rice,390,37
M000295,R00419,Burger,Veg Burger,135,33
M000296,R01194,South Indian,Pongal,296,21
M000297,R01247,North Indian,Chole Bhature,173,42
M000298,R01373,Burger,Cheese Burger,465,19
M000299,R01329,South Indian,Masala Dosa,285,32
M000300,R00368,South Indian,Vada,592,27
M000301,R01166,Pizza,Veg Pizza,330,19
M000302,R01441,Biryani,Mutton Biryani,213,18
M000303,R01192,South Indian,Masala Dosa,458,35
M000304,R01037,Healthy Foods,Grilled Chicken,395,16
M000305,R00997,North Indian,Chole Bhature,403,28
M000306,R00187,North Indian,Dal Makhani,483,21
M000307,R01136,Pizza,Veg Pizza,355,33
M000308,R00388,North Indian,Dal Makhani,277,13
M000309,R00932,North Indian,Paneer Butter Masala,156,16
M000310,R01153,Biryani,Paneer Biryani,650,21
M000311,R00502,Burger,Chicken Burger,463,20
M000312,R00848,South Indian,Vada,235,43
M000313,R00383,Biryani,Chicken Biryani,582,11
M000314,R00785,South Indian,Pongal,450,16
M000315,R01396,Chinese,Fried Rice,395,30
M000316,R00119,North Indian,Dal Makhani,424,10
M000317,R00243,Burger,Cheese Burger,250,40
M000318,R00808,North Indian,Paneer Butter Masala,452,34
M000319,R01256,North Indian,Dal Makhani,272,31
M000320,R00573,North Indian,Dal Makhani,547,36
M000321,R00730,Healthy Foods,Grilled Chicken,88,37
M000322,R01293,Chinese,Noodles,678,44
M000323,R00843,Burger,Veg Burger,151,38
M000324,R00895,Pizza,Farmhouse Pizza,562,12
M000325,R00410,Biryani,Veg Biryani,359,27
M000326,R00848,South Indian,Uttapam,420,38
M000327,R00365,Burger,Veg Burger,332,42
M000328,R00401,Chinese,Spring Roll,265,24
M000329,R00604,Pizza,Pepperoni Pizza,654,26
M000330,R00924,South Indian,Vada,630,21
M000331,R00144,Biryani,Chicken Biryani,649,30
M000332,R00022,South Indian,Pongal,147,39
M000333,R00068,South Indian,Uttapam,426,13
M000334,R00446,Healthy Foods,Salad Bowl,487,39
M000335,R00724,Healthy Foods,Protein Bowl,324,30
M000336,R01136,Pizza,Veg Pizza,292,38
M000337,R00393,Chinese,Fried Rice,622,14
M000338,R00956,Healthy Foods,Protein Bowl,407,24
M000339,R01214,South Indian,Masala Dosa,560,13
M000340,R00185,Biryani,Chicken Biryani,438,27
M000341,R00836,South Indian,Masala Dosa,342,35
M000342,R00795,Pizza,Pepperoni Pizza,183,36
M000343,R01067,North Indian,Butter Naan,454,11
M000344,R00541,South Indian,Uttapam,325,23
M000345,R00530,North Indian,Butter Naan,372,43
M000346,R00765,Pizza,Pepperoni Pizza,503,21
M000347,R01244,Chinese,Spring Roll,575,34
M000348,R00244,Chinese,Manchurian,527,22
M000349,R00245,Biryani,Paneer Biryani,548,20
M000350,R00948,South Indian,Vada,232,31
M000351,R01355,Biryani,Paneer Biryani,261,17
M000352,R00667,Burger,Cheese Burger,287,16
M000353,R00208,South Indian,Pongal,145,15
M000354,R00802,Biryani,Paneer Biryani,200,42
M000355,R00875,Biryani,Mutton Biryani,663,44
M000356,R01299,Pizza,Margherita Pizza,661,28
M000357,R00239,South Indian,Idli,224,25
M000358,R00282,South Indian,Vada,644,35
M000359,R01220,Healthy Foods,Grilled Chicken,305,23
M000360,R00749,Pizza,Pepperoni Pizza,508,38
M000361,R00284,Biryani,Veg Biryani,608,33
M000362,R01439,South Indian,Vada,556,30
M000363,R00828,South Indian,Uttapam,323,34
M000364,R01343,Beverages,Cold Coffee,633,20
M000365,R01360,Biryani,Chicken Biryani,513,27
M000366,R00400,Burger,Veg Burger,336,41
M000367,R00412,North Indian,Paneer Butter Masala,433,21
M000368,R00933,South Indian,Uttapam,319,35
M000369,R00015,South Indian,Pongal,233,15
M000370,R00118,South Indian,Pongal,105,39
M000371,R00146,South Indian,Vada,369,18
M000372,R01440,Pizza,Pepperoni Pizza,226,25
M000373,R00845,South Indian,Masala Dosa,342,20
M000374,R01473,South Indian,Pongal,679,32
M000375,R00062,North Indian,Chole Bhature,190,15
M000376,R00495,Chinese,Spring Roll,626,22
M000377,R01446,North Indian,Chole Bhature,357,35
M000378,R00596,Biryani,Mutton Biryani,626,26
M000379,R01267,Biryani,Chicken Biryani,231,18
M000380,R00777,North Indian,Butter Naan,338,15
M000381,R01003,South Indian,Vada,532,45
M000382,R01172,Biryani,Mutton Biryani,581,43
M000383,R01399,North Indian,Chole Bhature,526,20
M000384,R01037,Healthy Foods,Protein Bowl,114,34
M000385,R01042,South Indian,Uttapam,272,29
M000386,R00461,Biryani,Chicken Biryani,623,12
M000387,R00751,Chinese,Noodles,380,45
M000388,R00614,Biryani,Mutton Biryani,274,24
M000389,R00486,South Indian,Uttapam,693,24
M000390,R00069,South Indian,Idli,460,34
M000391,R01086,Pizza,Margherita Pizza,323,35
M000392,R01142,Pizza,Pepperoni Pizza,658,25
M000393,R00205,Desserts,Chocolate Cake,524,12
M000394,R01315,Chinese,Spring Roll,473,12
M000395,R00180,Healthy Foods,Grilled Chicken,681,43
M000396,R00801,North Indian,Chole Bhature,144,27
M000397,R00908,North Indian,Butter Naan,86,28
M000398,R01451,South Indian,Masala Dosa,248,42
M000399,R00854,Biryani,Veg Biryani,242,24
M000400,R00476,North Indian,Butter Naan,301,40
M000401,R01363,Biryani,Mutton Biryani,279,29
M000402,R00863,South Indian,Vada,679,13
M000403,R01125,North Indian,Chole Bhature,425,32
M000404,R00455,Biryani,Mutton Biryani,252,35
M000405,R00526,North Indian,Butter Naan,522,44
M000406,R00424,South Indian,Idli,416,26
M000407,R01217,Burger,Cheese Burger,135,11
M000408,R00850,Biryani,Paneer Biryani,422,19
M000409,R01475,Pizza,Pepperoni Pizza,584,31
M000410,R00924,South Indian,Masala Dosa,115,44
M000411,R00084,Biryani,Veg Biryani,112,31
M000412,R00600,South Indian,Idli,645,25
M000413,R01072,South Indian,Vada,253,37
M000414,R00012,North Indian,Dal Makhani,407,24
M000415,R00891,North Indian,Chole Bhature,133,45
M000416,R00685,South Indian,Masala Dosa,686,10
M000417,R00741,Burger,Chicken Burger,312,14
M000418,R00589,Pizza,Margherita Pizza,587,34
M000419,R00941,Pizza,Veg Pizza,318,35
M000420,R01189,North Indian,Butter Naan,260,22
M000421,R00522,Biryani,Chicken Biryani,128,38
M000422,R01051,Pizza,Margherita Pizza,604,11
M000423,R00237,Biryani,Veg Biryani,650,24
M000424,R00394,Biryani,Mutton Biryani,503,22
M000425,R01097,South Indian,Uttapam,565,14
M000426,R00528,South Indian,Uttapam,530,10
M000427,R01134,Biryani,Veg Biryani,225,20
M000428,R00342,Burger,Chicken Burger,614,18
M000429,R00059,Burger,Cheese Burger,418,25
M000430,R00302,North Indian,Paneer Butter Masala,415,21
M000431,R01302,South Indian,Idli,618,41
M000432,R00359,Biryani,Veg Biryani,88,29
M000433,R01263,South Indian,Masala Dosa,278,15
M000434,R01395,South Indian,Vada,683,34
M000435,R00163,Burger,Chicken Burger,478,13
M000436,R00785,South Indian,Masala Dosa,548,22
M000437,R00745,Healthy Foods,Grilled Chicken,101,33
M000438,R01053,Biryani,Mutton Biryani,486,37
M000439,R00079,Healthy Foods,Protein Bowl,163,35
M000440,R01404,South Indian,Pongal,183,40
M000441,R01097,South Indian,Uttapam,162,35
M000442,R01236,North Indian,Dal Makhani,263,34
M000443,R00559,North Indian,Paneer Butter Masala,532,37
M000444,R01213,South Indian,Idli,518,44
M000445,R01363,Biryani,Chicken Biryani,502,35
M000446,R01099,Chinese,Noodles,322,43
M000447,R01176,Healthy Foods,Protein Bowl,136,25
M000448,R00659,Biryani,Chicken Biryani,93,17
M000449,R00341,North Indian,Chole Bhature,343,22
M000450,R01092,Chinese,Fried Rice,517,26
M000451,R00031,South Indian,Pongal,283,24
M000452,R00951,Burger,Veg Burger,469,33
M000453,R00807,Chinese,Noodles,265,43
M000454,R00478,Biryani,Veg Biryani,85,29
M000455,R01381,South Indian,Uttapam,406,34
M000456,R01487,Burger,Chicken Burger,406,17
M000457,R00631,North Indian,Chole Bhature,351,43
M000458,R00519,South Indian,Idli,240,19
M000459,R00177,South Indian,Uttapam,306,29
M000460,R00852,Pizza,Veg Pizza,207,16
M000461,R00725,Chinese,Noodles,534,15
M000462,R01163,Desserts,Brownie,373,17
M000463,R00813,Burger,Veg Burger,307,12
M000464,R00709,Chinese,Spring Roll,430,31
M000465,R01100,Biryani,Paneer Biryani,540,39
M000466,R00821,North Indian,Chole Bhature,485,13
M000467,R01296,Burger,Chicken Burger,151,17
M000468,R01442,South Indian,Vada,619,28
M000469,R00207,Healthy Foods,Grilled Chicken,115,37
M000470,R00962,Desserts,Ice Cream,408,24
M000471,R01278,South Indian,Vada,131,45
M000472,R01018,North Indian,Butter Naan,205,39
M000473,R00898,Beverages,Mojito,386,26
M000474,R00944,Healthy Foods,Protein Bowl,206,25
M000475,R01475,Pizza,Veg Pizza,155,27
M000476,R00503,South Indian,Masala Dosa,574,26
M000477,R01457,Chinese,Spring Roll,111,38
M000478,R00064,Chinese,Spring Roll,686,10
M000479,R01421,South Indian,Vada,142,32
M000480,R01279,North Indian,Chole Bhature,363,41
M000481,R00523,Chinese,Noodles,90,10
M000482,R00940,Beverages,Lemon Juice,383,20
M000483,R01317,Pizza,Farmhouse Pizza,631,38
M000484,R01367,Desserts,Ice Cream,653,14
M000485,R01479,Healthy Foods,Grilled Chicken,666,18
M000486,R00346,South Indian,Uttapam,571,17
M000487,R01149,Biryani,Paneer Biryani,208,37
M000488,R01158,South Indian,Vada,666,34
M000489,R01337,Burger,Veg Burger,537,15
M000490,R00952,South Indian,Uttapam,609,31
M000491,R01313,North Indian,Chole Bhature,574,27
M000492,R01142,Pizza,Margherita Pizza,85,41
M000493,R00390,Biryani,Paneer Biryani,675,30
M000494,R01350,South Indian,Masala Dosa,539,21
M000495,R00500,Pizza,Farmhouse Pizza,130,20
M000496,R01287,South Indian,Uttapam,424,34
M000497,R01447,Chinese,Spring Roll,641,16
M000498,R01429,Healthy Foods,Protein Bowl,255,41
M000499,R00788,South Indian,Idli,228,40
M000500,R00051,Desserts,Brownie,279,34
M000501,R00524,Biryani,Chicken Biryani,211,16
M000502,R01410,South Indian,Masala Dosa,543,11
M000503,R00234,Pizza,Veg Pizza,493,29
M000504,R01276,South Indian,Pongal,578,30
M000505,R00917,North Indian,Paneer Butter Masala,175,28
M000506,R00844,North Indian,Paneer Butter Masala,291,42
M000507,R00947,Biryani,Veg Biryani,479,31
M000508,R01092,Chinese,Spring Roll,405,22
M000509,R00757,Chinese,Spring Roll,697,13
M000510,R00001,South Indian,Pongal,635,44
M000511,R00916,South Indian,Vada,80,38
M000512,R00049,South Indian,Pongal,468,14
M000513,R01010,North Indian,Paneer Butter Masala,179,36
M000514,R01153,Biryani,Chicken Biryani,264,34
M000515,R01185,North Indian,Paneer Butter Masala,104,12
M000516,R00120,Chinese,Manchurian,352,18
M000517,R01016,Burger,Cheese Burger,650,22
M000518,R00973,Biryani,Paneer Biryani,165,22
M000519,R00022,South Indian,Uttapam,689,38
M000520,R00079,Healthy Foods,Grilled Chicken,287,12
M000521,R00975,Desserts,Brownie,299,15
M000522,R00887,Biryani,Chicken Biryani,154,44
M000523,R00903,Chinese,Noodles,151,17
M000524,R00066,North Indian,Paneer Butter Masala,81,26
M000525,R00444,Biryani,Chicken Biryani,90,31
M000526,R01278,South Indian,Masala Dosa,430,19
M000527,R01030,Desserts,Ice Cream,471,15
M000528,R01162,Biryani,Veg Biryani,624,33
M000529,R00817,Burger,Chicken Burger,289,43
M000530,R01101,Pizza,Veg Pizza,235,11
M000531,R01151,South Indian,Vada,201,26
M000532,R01040,Burger,Chicken Burger,636,23
M000533,R00104,North Indian,Paneer Butter Masala,579,17
M000534,R00864,Biryani,Paneer Biryani,513,21
M000535,R00757,Chinese,Spring Roll,443,18
M000536,R00402,Biryani,Paneer Biryani,457,14
M000537,R00385,South Indian,Uttapam,220,38
M000538,R00779,South Indian,Pongal,217,12
M000539,R00407,Biryani,Chicken Biryani,654,25
M000540,R01081,South Indian,Uttapam,472,21
M000541,R01476,Pizza,Pepperoni Pizza,638,26
M000542,R01368,South Indian,Idli,627,34
M000543,R00311,Biryani,Chicken Biryani,694,42
M000544,R01254,Pizza,Veg Pizza,480,27
M000545,R01303,Burger,Chicken Burger,602,38
M000546,R00706,Pizza,Margherita Pizza,222,30
M000547,R01016,Burger,Cheese Burger,99,42
M000548,R00890,South Indian,Pongal,533,13
M000549,R01107,Biryani,Paneer Biryani,106,16
M000550,R00354,North Indian,Chole Bhature,80,18
M000551,R00519,South Indian,Pongal,531,25
M000552,R01116,Biryani,Paneer Biryani,543,36
M000553,R00822,Pizza,Farmhouse Pizza,133,27
M000554,R00067,Biryani,Mutton Biryani,280,26
M000555,R01135,South Indian,Uttapam,151,44
M000556,R01416,North Indian,Dal Makhani,419,13
M000557,R00182,Biryani,Mutton Biryani,435,29
M000558,R00179,Pizza,Pepperoni Pizza,428,40
M000559,R01164,Desserts,Ice Cream,86,42
M000560,R00037,Beverages,Cold Coffee,189,27
M000561,R01431,North Indian,Dal Makhani,570,44
M000562,R00709,Chinese,Manchurian,140,34
M000563,R00809,Chinese,Manchurian,507,25
M000564,R00565,Biryani,Paneer Biryani,241,23
M000565,R01173,Healthy Foods,Grilled Chicken,516,32
M000566,R00002,Biryani,Chicken Biryani,612,12
M000567,R00589,Pizza,Veg Pizza,401,15
