delivery_id,order_id,rider_id,distance_km,delivery_duration
DV0000096,O0000096,D03635,2.4,37
DV0000097,O0000097,D03680,9.2,43
DV0000098,O0000098,D03632,6.8,51
DV0000099,O0000099,D03458,2.6,46
DV0000100,O0000100,D01499,5.8,40
DV0000101,O0000101,D02831,10.3,49
DV0000102,O0000102,D02259,5.6,37
DV0000103,O0000103,D00154,8.8,40
DV0000104,O0000104,D03618,5.5,34
DV0000105,O0000105,D01708,9.6,35
DV0000106,O0000106,D02972,11.3,27
DV0000107,O0000107,D01213,4.8,50
DV0000108,O0000108,D01059,4.4,45
DV0000109,O0000109,D01704,10.5,23
DV0000110,O0000110,D02854,8.0,20
DV0000111,O0000111,D01516,8.3,17
DV0000112,O0000112,D01504,11.4,55
DV0000113,O0000113,D01126,6.1,54
DV0000114,O0000114,D02457,10.9,47
DV0000115,O0000115,D01008,8.7,59
DV0000116,O0000116,D02456,3.1,16
DV0000117,O0000117,D03002,7.8,45
DV0000118,O0000118,D02687,8.0,54
DV0000119,O0000119,D01723,7.6,48
DV0000120,O0000120,D01595,5.7,47
DV0000121,O0000121,D03502,2.0,18
DV0000122,O0000122,D03974,7.1,16
DV0000123,O0000123,D01032,6.7,36
DV0000124,O0000124,D00141,7.7,31
DV0000125,O0000125,D03388,4.1,28
DV0000126,O0000126,D02026,11.2,33
DV0000127,O0000127,D02056,5.9,54
DV0000128,O0000128,D00923,3.1,46
DV0000129,O0000129,D02471,3.6,33
DV0000130,O0000130,D00887,10.5,51
DV0000131,O0000131,D01583,4.4,44
DV0000132,O0000132,D03935,2.4,31
DV0000133,O0000133,D00395,2.1,27
DV0000134,O0000134,D00480,4.9,19
DV0000135,O0000135,D00454,5.3,18
DV0000136,O0000136,D01238,9.9,38
DV0000137,O0000137,D01417,3.4,25
DV0000138,O0000138,D01271,8.3,40
DV0000139,O0000139,D03936,10.2,41
DV0000140,O0000140,D03384,1.0,52
DV0000141,O0000141,D03828,9.7,44
DV0000142,O0000142,D01346,5.7,34
DV0000143,O0000143,D02785,8.8,55
DV0000144,O0000144,D02893,1.9,30
DV0000145,O0000145,D01001,9.4,23
DV0000146,O0000146,D02878,3.7,55
DV0000147,O0000147,D02492,1.5,17
DV0000148,O0000148,D00811,5.8,37
DV0000149,O0000149,D00749,5.2,43
DV0000150,O0000150,D00592,9.8,24
DV0000151,O0000151,D01617,5.6,58
DV0000152,O0000152,D00521,11.4,58
DV0000153,O0000153,D00537,3.7,28
DV0000154,O0000154,D02274,10.0,60
DV0000155,O0000155,D02681,2.6,42
DV0000156,O0000156,D03113,5.0,21
DV0000157,O0000157,D00307,1.1,46
DV0000158,O0000158,D02583,3.8,20
DV0000159,O0000159,D01591,7.8,36
DV0000160,O0000160,D03734,11.3,53
DV0000161,O0000161,D02942,9.7,24
DV0000162,O0000162,D01546,11.7,60
DV0000163,O0000163,D01201,3.7,40
DV0000164,O0000164,D02899,1.7,57
DV0000165,O0000165,D00932,11.3,54
DV0000166,O0000166,D00280,11.4,56
DV0000167,O0000167,D00729,8.3,54
DV0000168,O0000168,D03269,5.8,50
DV0000169,O0000169,D03836,10.3,19
DV0000170,O0000170,D02417,8.4,18
DV0000171,O0000171,D03961,11.0,18
DV0000172,O0000172,D00403,10.7,57
DV0000173,O0000173,D03086,7.0,17
DV0000174,O0000174,D02781,4.2,34
DV0000175,O0000175,D03047,11.5,50
DV0000176,O0000176,D02255,1.0,23
DV0000177,O0000177,D03270,7.2,37
DV0000178,O0000178,D03224,4.6,33
DV0000179,O0000179,D03061,7.1,46
DV0000180,O0000180,D01983,11.2,47
DV0000181,O0000181,D01657,6.0,46
DV0000182,O0000182,D02782,9.5,54
DV0000183,O0000183,D00582,9.7,37
DV0000184,O0000184,D02955,6.4,51
DV0000185,O0000185,D00005,10.5,33
DV0000186,O0000186,D00542,7.7,32
DV0000187,O0000187,D01084,3.8,15
DV0000188,O0000188,D03557,5.5,39
DV0000189,O0000189,D00708,5.7,43
DV0000190,O0000190,D03734,8.6,58
DV0000191,O0000191,D01175,11.3,22
DV0000192,O0000192,D00197,1.0,41
DV0000193,O0000193,D00779,10.0,44
DV0000194,O0000194,D02160,6.4,34
DV0000195,O0000195,D01678,10.3,45
DV0000196,O0000196,D00414,5.8,55
DV0000197,O0000197,D02161,1.6,36
DV0000198,O0000198,D03476,2.8,57
DV0000199,O0000199,D03153,8.0,44
DV0000200,O0000200,D03000,1.9,57
DV0000201,O0000201,D01984,3.0,45
DV0000202,O0000202,D00585,6.9,53
DV0000203,O0000203,D02520,5.8,50
DV0000204,O0000204,D02285,11.4,36
DV0000205,O0000205,D02791,2.6,49
DV0000206,O0000206,D00753,2.1,59
DV0000207,O0000207,D01017,3.1,21
DV0000208,O0000208,D03445,1.3,46
DV0000209,O0000209,D00664,8.0,38
DV0000210,O0000210,D03517,11.3,41
DV0000211,O0000211,D03758,10.5,60
DV0000212,O0000212,D01472,8.0,50
DV0000213,O0000213,D02996,9.2,57
DV0000214,O0000214,D01981,10.5,42
DV0000215,O0000215,D01913,11.0,16
DV0000216,O0000216,D00303,10.8,19
DV0000217,O0000217,D02616,3.8,15
DV0000218,O0000218,D00572,1.7,27
DV0000219,O0000219,D00783,5.8,60
DV0000220,O0000220,D02132,1.1,39
DV0000221,O0000221,D02306,6.2,31
DV0000222,O0000222,D01231,11.1,60
DV0000223,O0000223,D03026,9.8,57
DV0000224,O0000224,D00601,11.5,26
DV0000225,O0000225,D00165,11.2,44
DV0000226,O0000226,D01208,10.3,42
DV0000227,O0000227,D03410,2.8,49
DV0000228,O0000228,D00147,2.1,20
DV0000229,O0000229,D02480,4.0,35
DV0000230,O0000230,D03288,8.1,21
DV0000231,O0000231,D02620,7.9,54
DV0000232,O0000232,D01447,9.3,23
DV0000233,O0000233,D02937,8.3,54
DV0000234,O0000234,D02459,1.7,36
DV0000235,O0000235,D03573,1.1,26
DV0000236,O0000236,D00516,11.3,27
DV0000237,O0000237,D02352,2.0,37
DV0000238,O0000238,D03613,2.3,56
DV0000239,O0000239,D02869,4.8,26
DV0000240,O0000240,D02076,11.1,60
DV0000241,O0000241,D00738,10.3,40
DV0000242,O0000242,D00633,1.0,34
DV0000243,O0000243,D01437,7.9,49
DV0000244,O0000244,D00958,9.6,48
DV0000245,O0000245,D02002,11.6,38
DV0000246,O0000246,D01328,8.3,28
DV0000247,O0000247,D00424,2.1,28
DV0000248,O0000248,D02867,5.0,55
DV0000249,O0000249,D00488,11.5,41
DV0000250,O0000250,D01204,2.0,54
DV0000251,O0000251,D01380,4.8,35
DV0000252,O0000252,D03886,7.2,21
DV0000253,O0000253,D01545,8.7,41
DV0000254,O0000254,D00790,10.2,60
DV0000255,O0000255,D01246,8.4,28
DV0000256,O0000256,D02620,2.9,34
DV0000257,O0000257,D03137,6.6,59
DV0000258,O0000258,D00830,5.1,37
DV0000259,O0000259,D00785,4.0,20
DV0000260,O0000260,D00623,10.4,52
DV0000261,O0000261,D01833,5.9,42
DV0000262,O0000262,D00450,10.0,60
DV0000263,O0000263,D03446,5.1,41
DV0000264,O0000264,D00357,7.1,22
DV0000265,O0000265,D03410,4.7,33
DV0000266,O0000266,D02753,2.2,42
DV0000267,O0000267,D02932,5.9,39
DV0000268,O0000268,D00153,6.3,54
DV0000269,O0000269,D03026,2.1,21
DV0000270,O0000270,D00160,8.2,33
DV0000271,O0000271,D00341,3.4,35
DV0000272,O0000272,D03684,4.7,34
DV0000273,O0000273,D03638,7.3,55
DV0000274,O0000274,D02622,10.0,34
DV0000275,O0000275,D03238,9.1,19
DV0000276,O0000276,D02194,7.0,31
DV0000277,O0000277,D01608,5.4,40
DV0000278,O0000278,D02687,11.9,53
DV0000279,O0000279,D00661,8.5,52
DV0000280,O0000280,D02756,2.1,45
DV0000281,O0000281,D02292,9.4,40
DV0000282,O0000282,D00853,7.1,26
DV0000283,O0000283,D03078,11.4,37
DV0000284,O0000284,D02760,6.6,55
DV0000285,O0000285,D02629,8.5,29
DV0000286,O0000286,D00036,1.7,36
DV0000287,O0000287,D00735,1.6,17
DV0000288,O0000288,D02860,7.8,55
DV0000289,O0000289,D03046,7.0,42
DV0000290,O0000290,D03978,1.4,51
DV0000291,O0000291,D01798,2.9,40
DV0000292,O0000292,D02351,10.7,43
DV0000293,O0000293,D01825,5.9,26
DV0000294,O0000294,D02962,9.0,27
DV0000295,O0000295,D03055,7.2,15
DV0000296,O0000296,D01749,5.1,26
DV0000297,O0000297,D00142,7.6,32
DV0000298,O0000298,D03638,1.2,17
DV0000299,O0000299,D02235,6.2,34
DV0000300,O0000300,D03030,9.5,18
DV0000301,O0000301,D01049,1.5,21
DV0000302,O0000302,D01128,10.5,36
DV0000303,O0000303,D02283,4.0,41
DV0000304,O0000304,D00060,2.4,32
DV0000305,O0000305,D03399,9.9,50
DV0000306,O0000306,D01942,1.8,23
DV0000307,O0000307,D03163,1.1,53
DV0000308,O0000308,D01054,9.4,51
DV0000309,O0000309,D00453,7.9,26
DV0000310,O0000310,D02406,9.2,54
DV0000311,O0000311,D00006,8.9,52
DV0000312,O0000312,D01853,3.3,27
DV0000313,O0000313,D02553,4.1,38
DV0000314,O0000314,D02759,10.4,44
DV0000315,O0000315,D03461,7.6,31
DV0000316,O0000316,D01741,6.4,48
DV0000317,O0000317,D03045,7.1,37
DV0000318,O0000318,D01756,3.7,58
DV0000319,O0000319,D00431,4.9,54
DV0000320,O0000320,D03356,5.0,37
DV0000321,O0000321,D01460,4.0,45
DV0000322,O0000322,D00733,7.9,54
DV0000323,O0000323,D02531,6.5,49
DV0000324,O0000324,D01755,7.2,50
DV0000325,O0000325,D01896,3.1,53
DV0000326,O0000326,D01644,6.3,25
DV0000327,O0000327,D02954,8.8,45
DV0000328,O0000328,D01822,3.2,26
DV0000329,O0000329,D00414,10.9,54
DV0000330,O0000330,D00730,3.5,59
DV0000331,O0000331,D00915,4.2,15
DV0000332,O0000332,D02080,11.0,47
DV0000333,O0000333,D02928,11.3,37
DV0000334,O0000334,D03551,6.7,53
DV0000335,O0000335,D00898,8.1,26
DV0000336,O0000336,D01368,7.7,37
DV0000337,O0000337,D03498,9.1,28
DV0000338,O0000338,D01590,4.9,32
DV0000339,O0000339,D01279,3.7,22
DV0000340,O0000340,D01419,2.3,34
DV0000341,O0000341,D01860,11.8,24
DV0000342,O0000342,D00368,11.4,54
DV0000343,O0000343,D01205,3.1,45
DV0000344,O0000344,D01284,1.5,34
DV0000345,O0000345,D01342,6.8,43
DV0000346,O0000346,D03242,3.9,44
DV0000347,O0000347,D00690,3.9,43
DV0000348,O0000348,D01318,2.5,30
DV0000349,O0000349,D03506,10.0,18
DV0000350,O0000350,D03307,8.6,40
DV0000351,O0000351,D02247,8.8,37
DV0000352,O0000352,D03973,4.5,27
DV0000353,O0000353,D03610,8.3,40
DV0000354,O0000354,D00421,3.0,38
DV0000355,O0000355,D02154,4.7,25
DV0000356,O0000356,D01483,3.3,55
DV0000357,O0000357,D01858,3.9,57
DV0000358,O0000358,D01910,7.8,45
DV0000359,O0000359,D01145,9.2,37
DV0000360,O0000360,D00221,3.4,30
DV0000361,O0000361,D01280,1.4,30
DV0000362,O0000362,D02186,6.1,48
DV0000363,O0000363,D02370,5.8,28
DV0000364,O0000364,D02656,4.8,54
DV0000365,O0000365,D01857,10.1,45
DV0000366,O0000366,D03091,10.5,44
DV0000367,O0000367,D03606,7.6,39
DV0000368,O0000368,D01093,3.4,42
DV0000369,O0000369,D01870,4.8,30
DV0000370,O0000370,D02418,6.6,49
DV0000371,O0000371,D01585,4.1,26
DV0000372,O0000372,D02061,8.1,18
DV0000373,O0000373,D01684,9.5,23
DV0000374,O0000374,D02831,2.6,58
DV0000375,O0000375,D03463,3.2,22
DV0000376,O0000376,D03814,2.1,29
DV0000377,O0000377,D02352,3.5,17
DV0000378,O0000378,D02695,10.5,15
DV0000379,O0000379,D03143,7.9,28
DV0000380,O0000380,D03539,7.3,34
DV0000381,O0000381,D03370,9.6,43
DV0000382,O0000382,D01405,9.6,48
DV0000383,O0000383,D00824,6.1,37
DV0000384,O0000384,D01444,3.6,27
DV0000385,O0000385,D02925,4.1,15
DV0000386,O0000386,D02982,7.9,46
DV0000387,O0000387,D02911,7.3,15
DV0000388,O0000388,D03718,4.6,25
DV0000389,O0000389,D02448,7.2,15
DV0000390,O0000390,D02814,4.9,35
DV0000391,O0000391,D00878,6.8,38
DV0000392,O0000392,D03571,1.0,35
DV0000393,O0000393,D02771,3.0,31
DV0000394,O0000394,D03776,11.5,33
DV0000395,O0000395,D02838,8.2,43
DV0000396,O0000396,D03486,4.2,19
DV0000397,O0000397,D02223,2.9,46
DV0000398,O0000398,D03566,4.4,21
DV0000399,O0000399,D02654,3.4,58
DV0000400,O0000400,D01297,10.6,58
DV0000401,O0000401,D03505,6.5,45
DV0000402,O0000402,D01866,2.5,54
DV0000403,O0000403,D03392,7.7,41
DV0000404,O0000404,D01887,5.4,33
DV0000405,O0000405,D03466,8.6,25
DV0000406,O0000406,D01974,5.3,44
DV0000407,O0000407,D00638,4.5,16
DV0000408,O0000408,D03683,9.0,33
DV0000409,O0000409,D01992,12.0,35
DV0000410,O0000410,D01369,5.4,22
DV0000411,O0000411,D02854,3.3,50
DV0000412,O0000412,D00032,9.3,20
DV0000413,O0000413,D00981,9.8,22
DV0000414,O0000414,D02830,3.0,56
DV0000415,O0000415,D02293,8.9,52
DV0000416,O0000416,D02749,3.1,17
DV0000417,O0000417,D02185,10.8,60
DV0000418,O0000418,D02102,4.2,31
DV0000419,O0000419,D02156,4.1,50
DV0000420,O0000420,D03094,6.4,52
DV0000421,O0000421,D03092,10.5,31
DV0000422,O0000422,D01164,4.5,32
DV0000423,O0000423,D02295,5.3,29
DV0000424,O0000424,D00017,8.1,20
DV0000425,O0000425,D03078,3.2,60
DV0000426,O0000426,D02860,10.3,19
DV0000427,O0000427,D01928,9.0,46
DV0000428,O0000428,D01588,3.5,45
DV0000429,O0000429,D03886,3.0,60
DV0000430,O0000430,D00251,6.6,23
DV0000431,O0000431,D01431,2.3,32
DV0000432,O0000432,D03815,6.0,36
DV0000433,O0000433,D01241,10.1,54
DV0000434,O0000434,D00841,9.0,36
DV0000435,O0000435,D00494,9.6,57
DV0000436,O0000436,D03411,8.4,30
DV0000437,O0000437,D01170,5.8,37
DV0000438,O0000438,D02817,11.0,19
DV0000439,O0000439,D00164,10.5,40
DV0000440,O0000440,D00239,3.3,16
DV0000441,O0000441,D01518,11.0,48
DV0000442,O0000442,D01432,1.1,50
DV0000443,O0000443,D02571,5.2,16
DV0000444,O0000444,D01326,5.5,36
DV0000445,O0000445,D03762,6.6,32
DV0000446,O0000446,D03045,4.2,16
DV0000447,O0000447,D01458,1.5,26
DV0000448,O0000448,D00700,10.7,33
DV0000449,O0000449,D03134,5.5,27
DV0000450,O0000450,D01935,11.2,37
DV0000451,O0000451,D02564,4.4,45
DV0000452,O0000452,D02678,3.6,50
DV0000453,O0000453,D01963,2.8,55
DV0000454,O0000454,D01166,3.2,31
DV0000455,O0000455,D02761,6.4,24
DV0000456,O0000456,D03958,3.7,22
DV0000457,O0000457,D00554,3.5,27
DV0000458,O0000458,D02242,6.5,31
DV0000459,O0000459,D01544,11.9,42
DV0000460,O0000460,D03268,11.0,36
DV0000461,O0000461,D02277,2.3,53
DV0000462,O0000462,D01876,1.7,45
DV0000463,O0000463,D03132,10.7,16
DV0000464,O0000464,D01897,3.3,38
DV0000465,O0000465,D00172,8.2,40
DV0000466,O0000466,D00073,9.8,23
DV0000467,O0000467,D00833,10.7,38
DV0000468,O0000468,D01290,3.5,60
DV0000469,O0000469,D03413,2.8,46
DV0000470,O0000470,D03759,9.2,39
DV0000471,O0000471,D02758,3.2,15
DV0000472,O0000472,D02677,4.5,51
DV0000473,O0000473,D02609,4.7,33
DV0000474,O0000474,D02363,11.3,41
DV0000475,O0000475,D02773,1.7,28
DV0000476,O0000476,D01680,10.4,29
DV0000477,O0000477,D03184,7.0,60
DV0000478,O0000478,D03487,3.7,34
DV0000479,O0000479,D00134,10.5,23
DV0000480,O0000480,D01816,10.2,28
DV0000481,O0000481,D00970,5.5,23
DV0000482,O0000482,D00469,6.8,44
DV0000483,O0000483,D00752,5.8,37
DV0000484,O0000484,D01847,2.4,47
DV0000485,O0000485,D02306,2.8,59
DV0000486,O0000486,D01490,6.9,57
DV0000487,O0000487,D03709,7.8,17
DV0000488,O0000488,D03236,3.5,32
DV0000489,O0000489,D02617,11.7,57
DV0000490,O0000490,D02882,4.2,25
DV0000491,O0000491,D03705,10.7,22
DV0000492,O0000492,D00206,9.8,27
DV0000493,O0000493,D00067,3.1,21
DV0000494,O0000494,D03479,11.4,59
DV0000495,O0000495,D03996,1.8,55
DV0000496,O0000496,D00101,11.1,55
DV0000497,O0000497,D03930,3.7,27
DV0000498,O0000498,D01060,9.1,27
DV0000499,O0000499,D03156,9.7,15
DV0000500,O0000500,D00964,3.2,24
DV0000501,O0000501,D03709,9.0,30
DV0000502,O0000502,D02051,1.7,41
DV0000503,O0000503,D02575,1.6,26
DV0000504,O0000504,D01596,1.7,44
DV0000505,O0000505,D00764,9.0,31
DV0000506,O0000506,D02574,4.7,20
DV0000507,O0000507,D01854,9.5,24
DV0000508,O0000508,D02714,1.9,29
DV0000509,O0000509,D03883,10.2,38
DV0000510,O0000510,D02289,3.1,55
DV0000511,O0000511,D02094,7.5,34
DV0000512,O0000512,D01063,10.3,50
DV0000513,O0000513,D03154,3.8,50
DV0000514,O0000514,D03979,8.5,33
DV0000515,O0000515,D01635,6.2,31
DV0000516,O0000516,D01009,9.6,52
DV0000517,O0000517,D03605,10.9,49
DV0000518,O0000518,D02562,2.2,55
DV0000519,O0000519,D00447,9.3,37
DV0000520,O0000520,D03016,6.3,19
DV0000521,O0000521,D03285,3.9,19
DV0000522,O0000522,D02448,1.2,19
DV0000523,O0000523,D02156,1.5,58
DV0000524,O0000524,D02220,8.2,24
DV0000525,O0000525,D00048,1.3,48
DV0000526,O0000526,D03426,11.2,42
DV0000527,O0000527,D01676,7.6,60
DV0000528,O0000528,D01340,4.8,48
DV0000529,O0000529,D01777,2.2,16
DV0000530,O0000530,D00451,11.8,25
DV0000531,O0000531,D03357,7.3,41
DV0000532,O0000532,D01918,10.6,52
DV0000533,O0000533,D02434,8.6,19
DV0000534,O0000534,D00227,11.7,39
DV0000535,O0000535,D02738,8.6,17
DV0000536,O0000536,D01198,1.3,20
DV0000537,O0000537,D00933,5.4,19
DV0000538,O0000538,D00515,8.3,29
DV0000539,O0000539,D02956,11.2,56
DV0000540,O0000540,D02291,6.5,17
DV0000541,O0000541,D03321,9.8,47
DV0000542,O0000542,D03112,3.6,51
DV0000543,O0000543,D02675,3.1,55
DV0000544,O0000544,D03870,2.6,40
DV0000545,O0000545,D02505,4.7,29
DV0000546,O0000546,D03288,8.0,40
DV0000547,O0000547,D03325,1.9,23
DV0000548,O0000548,D00536,11.4,26
DV0000549,O0000549,D03484,8.3,34
DV0000550,O0000550,D03232,10.4,56
DV0000551,O0000551,D02813,5.0,29
DV0000552,O0000552,D01602,8.2,36
DV0000553,O0000553,D01813,7.1,39
DV0000554,O0000554,D02152,1.6,20
DV0000555,O0000555,D01242,7.4,24
DV0000556,O0000556,D03499,11.2,31
DV0000557,O0000557,D01055,4.2,52
DV0000558,O0000558,D01676,1.6,48
DV0000559,O0000559,D03511,10.0,52
DV0000560,O0000560,D00559,2.5,54
DV0000561,O0000561,D01900,8.3,59
DV0000562,O0000562,D01381,2.2,60
DV0000563,O0000563,D02893,11.9,18
DV0000564,O0000564,D03773,6.4,22
DV0000565,O0000565,D03342,10.2,60
DV0000566,O0000566,D00932,10.4,29
DV0000567,O0000567,D00309,10.5,56
DV0000568,O0000568,D02027,9.2,27
DV0000569,O0000569,D00794,2.3,28
DV0000570,O0000570,D03390,1.8,23
DV0000571,O0000571,D00641,1.1,49
DV0000572,O0000572,D01242,9.6,52
DV0000573,O0000573,D02247,8.4,28
DV0000574,O0000574,D00677,10.0,36
DV0000575,O0000575,D03358,9.0,50
DV0000576,O0000576,D03119,10.9,59
DV0000577,O0000577,D02813,10.4,28
DV0000578,O0000578,D01065,7.1,20
DV0000579,O0000579,D03793,10.5,39
DV0000580,O0000580,D01745,6.2,32
DV0000581,O0000581,D03539,10.1,27
DV0000582,O0000582,D00041,5.9,16
DV0000583,O0000583,D03668,10.4,44
DV0000584,O0000584,D02098,2.0,37
DV0000585,O0000585,D00545,6.4,52
DV0000586,O0000586,D01046,6.9,41
DV0000587,O0000587,D01775,5.9,48
DV0000588,O0000588,D00828,1.7,46
DV0000589,O0000589,D00228,11.8,17
DV0000590,O0000590,D02214,10.3,34
DV0000591,O0000591,D03470,7.0,52
DV0000592,O0000592,D00782,11.6,56
DV0000593,O0000593,D00128,7.7,54
DV0000594,O0000594,D00250,2.4,41
DV0000595,O0000595,D01718,1.1,57
DV0000596,O0000596,D01281,3.1,32
DV0000597,O0000597,D02639,6.4,35
DV0000598,O0000598,D00236,9.5,59
DV0000599,O0000599,D02023,9.6,20
DV0000600,O0000600,D00298,6.2,46
DV0000601,O0000601,D00667,4.4,42
DV0000602,O0000602,D00805,6.1,53
DV0000603,O0000603,D02826,9.3,48
DV0000604,O0000604,D01159,6.2,59
DV0000605,O0000605,D03202,8.6,58
DV0000606,O0000606,D02368,11.3,21
DV0000607,O0000607,D00402,6.6,19
DV0000608,O0000608,D01217,1.9,31
DV0000609,O0000609,D03694,8.7,25
DV0000610,O0000610,D02866,10.5,41
DV0000611,O0000611,D00861,7.0,49
DV0000612,O0000612,D03396,3.8,41
DV0000613,O0000613,D01317,4.8,54
DV0000614,O0000614,D03768,5.0,49
DV0000615,O0000615,D00955,1.3,30
DV0000616,O0000616,D03481,11.6,45
DV0000617,O0000617,D01361,2.0,47
DV0000618,O0000618,D00766,11.7,57
DV0000619,O0000619,D00918,10.9,42
DV0000620,O0000620,D01109,2.9,40
DV0000621,O0000621,D03886,7.6,58
DV0000622,O0000622,D03144,9.8,22
DV0000623,O0000623,D03458,8.0,21
DV0000624,O0000624,D03766,8.5,29
DV0000625,O0000625,D01071,2.9,35
DV0000626,O0000626,D02408,11.7,43
DV0000627,O0000627,D01768,1.4,44
DV0000628,O0000628,D00694,4.1,22
DV0000629,O0000629,D02692,2.5,55
DV0000630,O0000630,D03456,9.9,40
DV0000631,O0000631,D03236,10.5,35
DV0000632,O0000632,D03618,2.0,40
DV0000633,O0000633,D01119,7.4,48
DV0000634,O0000634,D02897,2.7,31
DV0000635,O0000635,D03345,1.2,21
DV0000636,O0000636,D01850,6.5,35
DV0000637,O0000637,D02408,5.5,48
DV0000638,O0000638,D01517,1.8,26
DV0000639,O0000639,D00529,9.0,59
DV0000640,O0000640,D01311,5.8,28
DV0000641,O0000641,D02468,1.5,19
DV0000642,O0000642,D01268,6.4,16
DV0000643,O0000643,D00863,6.0,28
DV0000644,O0000644,D03275,9.5,21
DV0000645,O0000645,D00675,6.8,20
DV0000646,O0000646,D02763,9.0,46
DV0000647,O0000647,D02586,7.5,41
DV0000648,O0000648,D00758,5.6,42
DV0000649,O0000649,D02994,1.4,22
DV0000650,O0000650,D03708,9.4,40
DV0000651,O0000651,D02943,1.5,36
DV0000652,O0000652,D01283,10.2,34
DV0000653,O0000653,D03631,8.7,29
DV0000654,O0000654,D03267,5.6,16
DV0000655,O0000655,D01053,4.8,27
DV0000656,O0000656,D00123,6.9,26
DV0000657,O0000657,D00553,6.8,57
DV0000658,O0000658,D02845,8.4,49
DV0000659,O0000659,D02566,1.3,28
DV0000660,O0000660,D01396,4.7,26
DV0000661,O0000661,D02646,4.5,53
DV0000662,O0000662,D01219,4.1,29
DV0000663,O0000663,D01681,2.6,39
DV0000664,O0000664,D03056,8.8,27
