event_id,customer_id,event_type
E0000253,C001909,App Open
E0000254,C001493,Order Complete
E0000255,C001318,App Open
E0000256,C004705,Restaurant View
E0000257,C000179,App Open
E0000258,C001526,App Open
E0000259,C002794,Restaurant View
E0000260,C001294,Menu View
E0000261,C002624,Restaurant View
E0000262,C004782,Menu View
E0000263,C001953,Restaurant View
E0000264,C001215,Restaurant View
E0000265,C004731,Checkout
E0000266,C001574,Order Complete
E0000267,C004686,Order Complete
E0000268,C001574,Menu View
E0000269,C004875,App Open
E0000270,C001632,App Open
E0000271,C002949,Order Complete
E0000272,C000504,Menu View
E0000273,C001496,Menu View
E0000274,C002842,App Open
E0000275,C000839,Add To Cart
E0000276,C002526,Order Complete
E0000277,C002224,Add To Cart
E0000278,C003824,App Open
E0000279,C001751,App Open
E0000280,C003960,Order Complete
E0000281,C003919,Order Complete
E0000282,C004761,Order Complete
E0000283,C001745,Restaurant View
E0000284,C003519,Order Complete
E0000285,C001733,Order Complete
E0000286,C004264,Add To Cart
E0000287,C004867,App Open
E0000288,C003730,Order Complete
E0000289,C001696,Menu View
E0000290,C000527,Checkout
E0000291,C000109,Checkout
E0000292,C002023,App Open
E0000293,C003260,Add To Cart
E0000294,C002191,App Open
E0000295,C002838,Restaurant View
E0000296,C003747,Order Complete
E0000297,C002319,Checkout
E0000298,C004349,Add To Cart
E0000299,C002737,Add To Cart
E0000300,C000907,Checkout
E0000301,C004424,Menu View
E0000302,C000561,Order Complete
E0000303,C000108,Order Complete
E0000304,C002730,Order Complete
E0000305,C003029,Menu View
E0000306,C001172,Order Complete
E0000307,C004949,Checkout
E0000308,C003849,Order Complete
E0000309,C001166,Restaurant View
E0000310,C001869,Restaurant View
E0000311,C002917,Menu View
E0000312,C000107,Order Complete
E0000313,C000321,Restaurant View
E0000314,C000628,Checkout
E0000315,C004474,Order Complete
E0000316,C000388,Restaurant View
E0000317,C002389,App Open
E0000318,C004119,Add To Cart
E0000319,C003702,App Open
E0000320,C004966,Restaurant View
E0000321,C001074,Restaurant View
E0000322,C004737,Order Complete
E0000323,C003892,Checkout
E0000324,C002145,Checkout
E0000325,C002510,Checkout
E0000326,C004846,Add To Cart
E0000327,C004940,Restaurant View
E0000328,C001448,Checkout
E0000329,C001067,Add To Cart
E0000330,C001488,Checkout
E0000331,C002164,Checkout
E0000332,C000749,App Open
E0000333,C001854,Menu View
E0000334,C003107,Order Complete
E0000335,C004870,Restaurant View
E0000336,C003447,Checkout
E0000337,C002210,App Open
E0000338,C001296,Restaurant View
E0000339,C002370,Menu View
E0000340,C000665,Restaurant View
E0000341,C003028,Menu View
E0000342,C000380,Add To Cart
E0000343,C003462,App Open
E0000344,C000301,Order Complete
E0000345,C001420,Order Complete
E0000346,C004809,Order Complete
E0000347,C000950,App Open
E0000348,C001729,Restaurant View
E0000349,C000541,Menu View
E0000350,C002815,Restaurant View
E0000351,C003523,Checkout
E0000352,C001006,Checkout
E0000353,C001832,Order Complete
E0000354,C002693,App Open
E0000355,C000491,Add To Cart
E0000356,C001565,Checkout
E0000357,C001499,Restaurant View
E0000358,C001419,Menu View
E0000359,C004848,Menu View
E0000360,C001213,Checkout
E0000361,C004876,Menu View
E0000362,C002990,App Open
E0000363,C003521,Restaurant View
E0000364,C003103,Menu View
E0000365,C000925,Restaurant View
E0000366,C002162,App Open
E0000367,C004949,Menu View
E0000368,C000050,Restaurant View
E0000369,C000019,Order Complete
E0000370,C002858,Order Complete
E0000371,C002722,Menu View
E0000372,C004557,Add To Cart
E0000373,C000942,Add To Cart
E0000374,C003061,Order Complete
E0000375,C000915,Menu View
E0000376,C000621,Restaurant View
E0000377,C004940,Menu View
E0000378,C001137,Add To Cart
E0000379,C001176,Add To Cart
E0000380,C001988,App Open
E0000381,C002606,Add To Cart
E0000382,C002691,Order Complete
E0000383,C001996,Order Complete
E0000384,C003689,Checkout
E0000385,C001168,App Open
E0000386,C003899,Add To Cart
E0000387,C001615,App Open
E0000388,C000830,App Open
E0000389,C002792,Checkout
E0000390,C002525,Checkout
E0000391,C000464,Add To Cart
E0000392,C000004,Order Complete
E0000393,C001352,Add To Cart
E0000394,C001515,Checkout
E0000395,C003645,Add To Cart
E0000396,C001978,Checkout
E0000397,C000264,Order Complete
E0000398,C003198,Add To Cart
E0000399,C000178,Add To Cart
E0000400,C001954,Restaurant View
E0000401,C004050,Order Complete
E0000402,C000353,Menu View
E0000403,C004202,Order Complete
E0000404,C002522,Order Complete
E0000405,C003335,Add To Cart
E0000406,C000088,App Open
E0000407,C000479,App Open
E0000408,C003587,Checkout
E0000409,C003241,App Open
E0000410,C002076,App Open
E0000411,C000616,Menu View
E0000412,C001595,Order Complete
E0000413,C004886,App Open
E0000414,C001182,Checkout
E0000415,C003598,Order Complete
E0000416,C003325,App Open
E0000417,C003566,Add To Cart
E0000418,C001635,Menu View
E0000419,C003342,Restaurant View
E0000420,C001871,Restaurant View
E0000421,C004510,Restaurant View
E0000422,C004343,Menu View
E0000423,C001181,Order Complete
E0000424,C002114,Order Complete
E0000425,C003382,Checkout
E0000426,C004953,Restaurant View
E0000427,C000765,Checkout
E0000428,C004515,Order Complete
E0000429,C003560,Restaurant View
E0000430,C003130,App Open
E0000431,C004858,Checkout
E0000432,C000251,Checkout
E0000433,C003105,Restaurant View
E0000434,C002334,Add To Cart
E0000435,C003462,Order Complete
E0000436,C002405,Order Complete
E0000437,C003457,App Open
E0000438,C001632,Restaurant View
E0000439,C004746,Add To Cart
E0000440,C003841,Restaurant View
E0000441,C000125,Order Complete
E0000442,C000562,Checkout
E0000443,C000279,Restaurant View
E0000444,C001755,Menu View
E0000445,C002360,Add To Cart
E0000446,C001969,Add To Cart
E0000447,C002153,Order Complete
E0000448,C000992,App Open
E0000449,C000719,Checkout
E0000450,C000374,Order Complete
E0000451,C003358,Add To Cart
E0000452,C000969,Checkout
E0000453,C002880,Add To Cart
E0000454,C001544,Order Complete
E0000455,C000582,Restaurant View
E0000456,C001062,Restaurant View
E0000457,C000992,Checkout
E0000458,C004859,Restaurant View
E0000459,C002747,App Open
E0000460,C000874,Add To Cart
E0000461,C000787,Add To Cart
E0000462,C004738,Menu View
E0000463,C002374,Order Complete
E0000464,C002629,Menu View
E0000465,C000466,App Open
E0000466,C001481,Menu View
E0000467,C003794,Add To Cart
E0000468,C000095,Add To Cart
E0000469,C004750,Menu View
E0000470,C000985,Order Complete
E0000471,C001919,Menu View
E0000472,C003297,App Open
E0000473,C003598,Order Complete
E0000474,C003288,Checkout
E0000475,C002896,Add To Cart
E0000476,C000779,App Open
E0000477,C001392,Add To Cart
E0000478,C002312,Restaurant View
E0000479,C000148,App Open
E0000480,C002430,Add To Cart
E0000481,C003285,Add To Cart
E0000482,C002372,Add To Cart
E0000483,C004159,Restaurant View
E0000484,C001194,Restaurant View
E0000485,C002352,Order Complete
E0000486,C002483,Restaurant View
E0000487,C003541,Restaurant View
E0000488,C003950,App Open
E0000489,C004994,Restaurant View
E0000490,C000713,App Open
E0000491,C003831,Order Complete
E0000492,C000014,Order Complete
E0000493,C004853,Restaurant View
E0000494,C001952,Order Complete
E0000495,C004383,App Open
E0000496,C001221,Menu View
E0000497,C002905,Order Complete
E0000498,C001176,Add To Cart
E0000499,C001713,Menu View
E0000500,C002662,Menu View
E0000501,C004954,Menu View
E0000502,C003702,Restaurant View
E0000503,C002662,Menu View
E0000504,C001809,Menu View
E0000505,C003154,Restaurant View
E0000506,C003916,App Open
E0000507,C003379,Checkout
E0000508,C004749,Restaurant View
E0000509,C001114,Checkout
E0000510,C004554,Menu View
E0000511,C003422,Menu View
E0000512,C003396,Checkout
E0000513,C004457,Order Complete
E0000514,C002203,Menu View
E0000515,C004915,Checkout
E0000516,C003178,Order Complete
E0000517,C000659,Checkout
E0000518,C004327,App Open
E0000519,C001090,App Open
E0000520,C001824,App Open
E0000521,C004431,Add To Cart
E0000522,C003807,Checkout
E0000523,C000399,Restaurant View
E0000524,C001823,Order Complete
E0000525,C002960,Restaurant View
E0000526,C002605,Add To Cart
E0000527,C004419,App Open
E0000528,C000087,App Open
E0000529,C003651,Add To Cart
E0000530,C003322,Add To Cart
E0000531,C001065,Add To Cart
E0000532,C004040,Order Complete
E0000533,C002965,Add To Cart
E0000534,C001137,Restaurant View
E0000535,C003017,App Open
E0000536,C003460,Add To Cart
E0000537,C002314,Checkout
E0000538,C002634,Menu View
E0000539,C002816,Restaurant View
E0000540,C002581,Menu View
E0000541,C003487,Checkout
E0000542,C001822,Menu View
E0000543,C000493,Menu View
E0000544,C003732,Restaurant View
E0000545,C004031,Menu View
E0000546,C002532,Checkout
E0000547,C001418,Add To Cart
E0000548,C003532,Order Complete
E0000549,C001915,Add To Cart
E0000550,C003260,Restaurant View
E0000551,C000810,Checkout
E0000552,C002395,App Open
E0000553,C002269,Restaurant View
E0000554,C000521,App Open
E0000555,C002735,Checkout
E0000556,C001815,Menu View
E0000557,C002637,Menu View
E0000558,C000351,Menu View
E0000559,C004911,Menu View
E0000560,C001424,Add To Cart
E0000561,C004470,Restaurant View
E0000562,C002880,Add To Cart
E0000563,C002596,Add To Cart
E0000564,C001681,Add To Cart
E0000565,C000583,Checkout
E0000566,C000556,App Open
E0000567,C003547,Restaurant View
E0000568,C004838,Add To Cart
E0000569,C003522,Restaurant View
E0000570,C004194,Add To Cart
E0000571,C000043,Checkout
E0000572,C001488,App Open
E0000573,C004633,Add To Cart
E0000574,C000130,Order Complete
E0000575,C004383,Checkout
E0000576,C000626,Add To Cart
E0000577,C001220,Add To Cart
E0000578,C002423,Checkout
E0000579,C001646,Menu View
E0000580,C001831,Add To Cart
E0000581,C001190,Checkout
E0000582,C004912,Checkout
E0000583,C000675,Checkout
E0000584,C002988,Checkout
E0000585,C000458,Restaurant View
E0000586,C001555,Restaurant View
E0000587,C003793,Add To Cart
E0000588,C002146,Order Complete
E0000589,C002966,Order Complete
E0000590,C001480,Add To Cart
E0000591,C001035,Add To Cart
E0000592,C003584,Checkout
E0000593,C003416,Order Complete
E0000594,C002793,App Open
E0000595,C001643,Checkout
E0000596,C002455,Menu View
E0000597,C000326,App Open
E0000598,C004662,Restaurant View
E0000599,C003496,Menu View
E0000600,C000629,App Open
E0000601,C004928,Add To Cart
E0000602,C000221,Checkout
E0000603,C000775,App Open
E0000604,C000557,Order Complete
E0000605,C004160,Order Complete
E0000606,C004919,Checkout
E0000607,C004816,Add To Cart
E0000608,C002124,Order Complete
E0000609,C001060,Add To Cart
E0000610,C002505,App Open
E0000611,C003752,Order Complete
E0000612,C003814,Menu View
E0000613,C001174,Restaurant View
E0000614,C002439,Order Complete
E0000615,C004794,Menu View
E0000616,C000222,Order Complete
E0000617,C003996,Add To Cart
E0000618,C001353,Menu View
E0000619,C002221,Restaurant View
E0000620,C000922,Add To Cart
E0000621,C000265,Checkout
E0000622,C002325,Add To Cart
E0000623,C001576,Restaurant View
E0000624,C002718,App Open
E0000625,C003694,Restaurant View
E0000626,C004703,Checkout
E0000627,C004781,Checkout
E0000628,C001896,Order Complete
E0000629,C002040,Restaurant View
E0000630,C004813,App Open
E0000631,C003951,Checkout
E0000632,C001387,Checkout
E0000633,C004105,App Open
E0000634,C004100,Order Complete
E0000635,C000125,Menu View
E0000636,C004749,Add To Cart
E0000637,C001591,Menu View
E0000638,C002086,Checkout
E0000639,C003863,App Open
E0000640,C000902,Checkout
E0000641,C003541,App Open
E0000642,C002105,Add To Cart
E0000643,C004823,Restaurant View
E0000644,C001567,Checkout
E0000645,C003968,Order Complete
E0000646,C002769,Menu View
E0000647,C002408,Menu View
E0000648,C004493,Restaurant View
E0000649,C003050,Add To Cart
E0000650,C002227,Restaurant View
E0000651,C002336,Order Complete
E0000652,C001849,Checkout
E0000653,C004620,App Open
E0000654,C002797,Order Complete
E0000655,C003384,Checkout
E0000656,C003323,Add To Cart
E0000657,C003038,App Open
E0000658,C003397,Menu View
E0000659,C002157,Order Complete
E0000660,C002199,App Open
E0000661,C001143,Add To Cart
E0000662,C000023,Add To Cart
E0000663,C000091,Add To Cart
E0000664,C004104,Order Complete
E0000665,C002545,Add To Cart
E0000666,C003466,Checkout
E0000667,C004696,App Open
E0000668,C000957,Checkout
E0000669,C004485,Menu View
E0000670,C003449,Menu View
E0000671,C004541,Menu View
E0000672,C004009,Menu View
E0000673,C001919,Checkout
E0000674,C004795,Add To Cart
E0000675,C004783,Order Complete
E0000676,C003660,Order Complete
E0000677,C000272,Restaurant View
E0000678,C003661,Menu View
E0000679,C001520,Restaurant View
E0000680,C003256,Menu View
E0000681,C004509,Restaurant View
E0000682,C002004,App Open
E0000683,C000824,Restaurant View
E0000684,C001997,Menu View
E0000685,C003612,Menu View
E0000686,C002739,Checkout
E0000687,C001631,Menu View
E0000688,C001546,Restaurant View
E0000689,C003546,Restaurant View
E0000690,C004395,Add To Cart
E0000691,C004874,Add To Cart
E0000692,C003316,Order Complete
E0000693,C001571,Add To Cart
E0000694,C000392,Restaurant View
E0000695,C001874,App Open
E0000696,C001963,Add To Cart
E0000697,C001160,Add To Cart
E0000698,C004653,App Open
E0000699,C004762,App Open
E0000700,C003062,Checkout
E0000701,C001372,Restaurant View
E0000702,C001088,App Open
E0000703,C000301,Menu View
E0000704,C001864,Menu View
E0000705,C002191,Menu View
E0000706,C004577,Add To Cart
E0000707,C002824,Restaurant View
E0000708,C002215,App Open
E0000709,C004630,Order Complete
E0000710,C002797,Add To Cart
E0000711,C002528,Checkout
E0000712,C002952,App Open
E0000713,C001889,Restaurant View
E0000714,C001553,Add To Cart
E0000715,C003221,Add To Cart
E0000716,C001991,Checkout
E0000717,C004041,Add To Cart
E0000718,C000860,Menu View
E0000719,C001686,Restaurant View
E0000720,C003406,App Open
E0000721,C003648,Add To Cart
E0000722,C003116,Add To Cart
E0000723,C004589,Restaurant View
E0000724,C004341,Checkout
E0000725,C003515,Checkout
E0000726,C002589,App Open
E0000727,C001635,Restaurant View
E0000728,C000359,App Open
E0000729,C002551,Add To Cart
E0000730,C001342,Order Complete
E0000731,C002251,Restaurant View
E0000732,C001588,Restaurant View
E0000733,C003736,App Open
E0000734,C001377,App Open
E0000735,C003012,Checkout
E0000736,C001212,Checkout
E0000737,C003907,Add To Cart
E0000738,C003172,App Open
E0000739,C001516,App Open
E0000740,C003361,Restaurant View
E0000741,C001884,Checkout
E0000742,C004727,Add To Cart
E0000743,C001455,App Open
E0000744,C001591,App Open
E0000745,C003057,Restaurant View
E0000746,C001375,Restaurant View
E0000747,C000604,Order Complete
E0000748,C002533,Order Complete
E0000749,C002437,Checkout
E0000750,C003807,Order Complete
E0000751,C001751,App Open
E0000752,C002894,App Open
E0000753,C001864,Order Complete
E0000754,C001592,Restaurant View
E0000755,C003346,App Open
E0000756,C003120,Add To Cart
E0000757,C002939,Checkout
E0000758,C004572,App Open
E0000759,C001391,Add To Cart
E0000760,C002180,Order Complete
E0000761,C002997,Checkout
E0000762,C003141,Add To Cart
E0000763,C003107,Checkout
E0000764,C000122,Order Complete
E0000765,C001300,Order Complete
E0000766,C000667,Restaurant View
E0000767,C003881,Add To Cart
E0000768,C002250,Order Complete
E0000769,C002162,App Open
E0000770,C004583,Checkout
E0000771,C004300,Menu View
E0000772,C002141,Restaurant View
E0000773,C004604,Add To Cart
E0000774,C001993,Order Complete
E0000775,C000184,Menu View
E0000776,C002681,Add To Cart
E0000777,C001907,Restaurant View
E0000778,C003891,Add To Cart
E0000779,C001770,Checkout
E0000780,C003254,Checkout
E0000781,C001030,App Open
E0000782,C004808,App Open
E0000783,C000931,Menu View
E0000784,C003845,Order Complete
E0000785,C001573,Add To Cart
E0000786,C000532,Checkout
E0000787,C000945,App Open
E0000788,C004570,Checkout
E0000789,C003319,App Open
E0000790,C000358,Add To Cart
E0000791,C000376,Order Complete
E0000792,C003837,Menu View
E0000793,C000924,Restaurant View
E0000794,C001773,Checkout
E0000795,C000901,Add To Cart
E0000796,C001809,Restaurant View
E0000797,C003767,Menu View
E0000798,C000173,Add To Cart
E0000799,C001295,Menu View
E0000800,C002206,Add To Cart
E0000801,C000449,Order Complete
E0000802,C003001,Checkout
E0000803,C002722,Checkout
E0000804,C004973,App Open
E0000805,C000805,Menu View
E0000806,C002297,App Open
E0000807,C000196,Add To Cart
E0000808,C004582,Menu View
E0000809,C004714,App Open
E0000810,C004699,Restaurant View
E0000811,C000284,Add To Cart
E0000812,C001967,Menu View
E0000813,C003718,Restaurant View
E0000814,C004091,Restaurant View
E0000815,C002328,Restaurant View
E0000816,C003575,App Open
E0000817,C003973,App Open
E0000818,C004620,Menu View
E0000819,C000814,Checkout
E0000820,C004578,Menu View
E0000821,C001886,App Open
E0000822,C000003,Restaurant View
E0000823,C000745,Menu View
E0000824,C003026,Menu View
E0000825,C004308,Order Complete
E0000826,C001022,Checkout
E0000827,C001019,Order Complete
E0000828,C000064,Checkout
E0000829,C001666,Add To Cart
E0000830,C001854,Menu View
E0000831,C001160,Add To Cart
E0000832,C002337,Menu View
E0000833,C003473,Restaurant View
E0000834,C002847,Checkout
E0000835,C000209,Order Complete
E0000836,C000090,App Open
E0000837,C004823,Add To Cart
E0000838,C000374,Checkout
E0000839,C004342,Add To Cart
E0000840,C000003,App Open
E0000841,C004287,Order Complete
E0000842,C003441,Menu View
E0000843,C003613,Order Complete
E0000844,C003216,Add To Cart
E0000845,C001856,Order Complete
E0000846,C003306,Menu View
E0000847,C002740,Menu View
E0000848,C001088,Menu View
E0000849,C000029,Checkout
E0000850,C000581,Checkout
E0000851,C000512,App Open
E0000852,C003622,Checkout
E0000853,C001491,Add To Cart
E0000854,C002177,Restaurant View
E0000855,C000771,Restaurant View
E0000856,C000484,App Open
E0000857,C004154,Add To Cart
E0000858,C001906,Restaurant View
E0000859,C001683,Restaurant View
E0000860,C002565,Order Complete
E0000861,C002672,Restaurant View
E0000862,C000908,Add To Cart
E0000863,C001735,Add To Cart
E0000864,C003890,App Open
E0000865,C002837,App Open
E0000866,C001538,Restaurant View
E0000867,C000886,Order Complete
E0000868,C004977,Menu View
E0000869,C001169,Restaurant View
E0000870,C003161,App Open
E0000871,C001558,Order Complete
E0000872,C001420,Checkout
E0000873,C003955,Checkout
E0000874,C000497,Restaurant View
E0000875,C003471,App Open
E0000876,C000860,Add To Cart
E0000877,C003174,Menu View
E0000878,C001996,Restaurant View
E0000879,C002538,Menu View
E0000880,C000532,App Open
E0000881,C004048,Restaurant View
E0000882,C000248,Add To Cart
E0000883,C001541,Restaurant View
E0000884,C004131,Menu View
E0000885,C002109,Checkout
E0000886,C001311,Checkout
E0000887,C002567,Checkout
E0000888,C003137,Order Complete
E0000889,C003641,Restaurant View
E0000890,C001217,Restaurant View
E0000891,C003431,Add To Cart
E0000892,C001465,Add To Cart
E0000893,C002804,Add To Cart
E0000894,C003718,Restaurant View
E0000895,C003641,Checkout
E0000896,C003982,Add To Cart
E0000897,C003356,Add To Cart
E0000898,C002259,Order Complete
E0000899,C000176,Add To Cart
E0000900,C004150,App Open
E0000901,C002390,App Open
E0000902,C002136,Order Complete
E0000903,C000984,App Open
E0000904,C000212,App Open
E0000905,C004035,Restaurant View
E0000906,C000913,Restaurant View
E0000907,C001400,App Open
E0000908,C000943,Add To Cart
E0000909,C000831,Restaurant View
E0000910,C001159,Order Complete
E0000911,C003700,Restaurant View
E0000912,C000102,Menu View
E0000913,C002510,Checkout
E0000914,C000067,Menu View
E0000915,C002273,Menu View
E0000916,C001463,Order Complete
E0000917,C004521,App Open
E0000918,C000081,App Open
E0000919,C004592,Menu View
E0000920,C003378,Add To Cart
E0000921,C000113,Add To Cart
E0000922,C001765,Restaurant View
E0000923,C001215,Checkout
E0000924,C004559,Add To Cart
E0000925,C003885,Order Complete
E0000926,C002225,Order Complete
E0000927,C003607,Add To Cart
E0000928,C003660,Restaurant View
E0000929,C004114,Restaurant View
E0000930,C000239,Checkout
E0000931,C004489,Checkout
E0000932,C004818,Menu View
E0000933,C002934,App Open
E0000934,C003262,Restaurant View
E0000935,C001133,Checkout
E0000936,C000599,Order Complete
E0000937,C002570,Menu View
E0000938,C003073,Add To Cart
E0000939,C004107,Menu View
E0000940,C004518,Restaurant View
E0000941,C004189,Add To Cart
E0000942,C002604,Order Complete
E0000943,C000786,App Open
E0000944,C004388,Add To Cart
E0000945,C003788,Checkout
E0000946,C001003,Menu View
E0000947,C002392,Menu View
E0000948,C001852,Checkout
E0000949,C002789,Menu View
