order_id,customer_id,restaurant_id,item_id,rider_id,order_datetime,quantity,order_amount,discount_amount,delivery_fee,final_amount,order_status
O0000030,C000389,R01270,M004192,D01345,2025-08-09 07:39:01,4,1580,67,27,1540,Delivered
O0000031,C000902,R00078,M009489,D03745,2026-03-15 23:28:21,2,708,17,39,730,Delivered
O0000032,C002263,R00681,M009044,D00574,2025-08-25 22:48:55,4,2056,94,53,2015,Delivered
O0000033,C004514,R01196,M011516,D02710,2026-06-09 10:25:00,1,102,94,47,55,Delivered
O0000034,C001720,R01231,M013671,D02252,2025-09-16 23:32:36,4,1356,47,21,1330,Delivered
O0000035,C000745,R00364,M005435,D00915,2026-03-04 16:15:06,1,126,91,31,66,Delivered
O0000036,C004083,R00327,M000630,D01810,2025-09-06 10:39:52,3,723,45,25,703,Delivered
O0000037,C002611,R00791,M014341,D02195,2026-02-15 01:07:36,2,820,22,39,837,Delivered
O0000038,C004678,R00437,M006967,D01042,2025-12-16 00:00:54,2,782,67,22,737,Delivered
O0000039,C003967,R01304,M008589,D02647,2026-03-20 03:21:01,1,393,62,33,364,Delivered
O0000040,C000105,R00506,M008267,D01147,2025-08-31 04:20:21,1,470,33,27,464,Delivered
O0000041,C001182,R01341,M013843,D02308,2026-02-05 00:00:55,3,534,66,37,505,Delivered
O0000042,C002554,R00018,M012811,D02425,2026-03-13 02:20:07,1,458,13,47,492,Delivered
O0000043,C002414,R00195,M012625,D03382,2025-07-25 13:24:20,2,874,75,28,827,Delivered
O0000044,C001914,R00113,M008853,D03648,2025-09-11 05:29:54,1,182,52,22,152,Delivered
O0000045,C004638,R00094,M002675,D01150,2026-01-05 04:24:27,3,588,67,26,547,Delivered
O0000046,C004042,R00646,M010171,D03462,2025-07-09 06:59:08,3,672,94,34,612,Delivered
O0000047,C000593,R00601,M003914,D02321,2025-12-25 22:27:46,3,2052,25,37,2064,Delivered
O0000048,C000875,R01363,M003339,D03959,2025-08-01 07:44:28,2,1042,11,27,1058,Delivered
O0000049,C003308,R00970,M000720,D03857,2025-09-28 15:10:14,2,692,11,33,714,Delivered
O0000050,C000801,R00189,M011342,D03648,2025-11-30 14:42:51,4,1224,37,41,1228,Delivered
O0000051,C004482,R00383,M014440,D03095,2025-12-24 12:21:39,3,1740,46,20,1714,Delivered
O0000052,C000591,R01084,M007048,D00730,2026-04-22 09:30:11,4,2620,28,32,2624,Delivered
O0000053,C002785,R00221,M007092,D03630,2026-02-13 16:56:53,2,1242,53,47,1236,Delivered
O0000054,C003033,R00020,M013067,D01367,2026-04-20 06:56:25,2,460,22,38,476,Cancelled
O0000055,C003890,R01374,M005262,D03917,2025-10-17 22:36:04,2,1180,28,42,1194,Delivered
O0000056,C004252,R01232,M007757,D03402,2026-04-20 16:15:21,2,1332,34,45,1343,Delivered
O0000057,C000367,R01332,M004742,D03944,2025-12-16 14:23:13,2,708,36,29,701,Delivered
O0000058,C000638,R00611,M014934,D00690,2026-06-09 00:56:07,4,2324,32,43,2335,Delivered
O0000059,C003090,R00717,M001022,D02089,2025-10-29 11:25:36,2,650,45,47,652,Delivered
O0000060,C000950,R00898,M008702,D01312,2026-03-11 21:44:57,3,1008,25,28,1011,Delivered
O0000061,C002996,R01334,M001896,D03141,2025-11-16 18:51:31,1,447,49,26,424,Delivered
O0000062,C003744,R00785,M000436,D01987,2026-02-13 20:17:44,1,548,21,23,550,Delivered
O0000063,C003105,R00043,M011226,D02953,2026-03-03 17:52:00,1,100,11,55,144,Delivered
O0000064,C001855,R00843,M000638,D00688,2025-10-20 06:13:29,4,2224,59,46,2211,Delivered
O0000065,C001451,R00138,M010594,D02296,2025-08-03 06:19:38,3,1494,4,30,1520,Delivered
O0000066,C004889,R01209,M007318,D02527,2025-10-30 02:49:00,1,561,29,47,579,Delivered
O0000067,C001458,R00870,M014442,D01144,2026-04-22 11:08:18,1,325,14,48,359,Delivered
O0000068,C001919,R01037,M010408,D01374,2026-02-17 19:53:49,4,1636,40,24,1620,Delivered
O0000069,C001891,R01324,M006596,D00210,2026-02-10 08:40:54,2,532,67,52,517,Delivered
O0000070,C001665,R00191,M005622,D00029,2026-02-04 09:45:21,1,492,40,57,509,Delivered
O0000071,C004880,R00002,M011704,D02103,2026-01-15 15:43:32,1,313,75,32,270,Delivered
O0000072,C002594,R00055,M004004,D03019,2025-09-27 01:24:48,4,652,39,54,667,Delivered
O0000073,C003067,R01469,M004459,D00978,2025-09-20 19:13:21,1,426,32,42,436,Delivered
O0000074,C001051,R00050,M006987,D02270,2025-07-17 11:42:56,3,1908,91,40,1857,Delivered
O0000075,C001127,R00410,M014485,D03700,2026-01-02 02:31:32,4,2728,56,42,2714,Delivered
O0000076,C004531,R00728,M007514,D02450,2025-07-14 15:13:33,3,429,60,29,398,Delivered
O0000077,C002145,R00920,M006346,D00493,2026-03-09 03:48:34,2,702,16,37,723,Delivered
O0000078,C002338,R00552,M007919,D01922,2025-08-01 17:42:38,4,2252,48,41,2245,Delivered
O0000079,C001456,R00447,M011724,D00616,2026-01-26 06:37:42,1,294,77,40,257,Delivered
O0000080,C002793,R00768,M013966,D03920,2025-07-26 01:11:40,3,762,34,31,759,Delivered
O0000081,C001837,R00793,M002474,D00423,2025-10-15 22:35:42,4,1680,67,56,1669,Delivered
O0000082,C001141,R00276,M009058,D00807,2025-11-20 01:25:23,2,974,12,57,1019,Delivered
O0000083,C002909,R00674,M011896,D03394,2025-07-02 11:43:25,2,942,70,39,911,Delivered
O0000084,C000246,R00432,M001250,D00625,2025-08-11 03:36:46,3,972,31,39,980,Delivered
O0000085,C003603,R00852,M006853,D00218,2025-10-31 20:56:23,4,2400,81,59,2378,Delivered
O0000086,C003392,R00382,M009704,D03835,2026-02-11 15:07:45,1,447,60,41,428,Delivered
O0000087,C000152,R00364,M011810,D01604,2025-07-22 13:13:04,2,1112,14,54,1152,Delivered
O0000088,C000491,R00550,M005455,D03471,2026-05-03 03:50:12,2,454,44,35,445,Delivered
O0000089,C001710,R00149,M003562,D03085,2025-10-19 08:06:07,2,1256,33,54,1277,Delivered
O0000090,C002004,R00830,M006790,D02514,2025-06-26 00:42:24,3,411,40,58,429,Delivered
O0000091,C004503,R00997,M002694,D03668,2026-01-03 01:34:30,4,1080,19,51,1112,Delivered
O0000092,C001359,R00042,M006710,D03124,2026-05-03 17:55:37,4,1476,61,27,1442,Delivered
O0000093,C000756,R01247,M014473,D00168,2026-06-09 00:58:06,2,506,44,44,506,Delivered
O0000094,C001864,R00286,M008396,D02780,2026-04-15 08:19:34,4,2528,100,54,2482,Delivered
O0000095,C000801,R00842,M003345,D02798,2025-07-15 12:13:51,4,1268,32,37,1273,Delivered
O0000096,C004243,R01459,M004534,D03635,2026-02-05 06:12:16,2,516,48,33,501,Delivered
O0000097,C002949,R00343,M002777,D03680,2026-03-15 09:05:49,4,916,22,55,949,Delivered
O0000098,C003689,R00368,M000192,D03632,2025-12-14 15:20:23,4,932,23,43,952,Delivered
O0000099,C002540,R01411,M013631,D03458,2026-02-09 05:21:33,1,536,28,25,533,Delivered
O0000100,C002161,R00782,M006906,D01499,2025-12-21 05:17:23,3,792,14,40,818,Delivered
O0000101,C003147,R00692,M009890,D02831,2026-02-03 12:16:01,4,2088,29,35,2094,Cancelled
O0000102,C004803,R00591,M003420,D02259,2025-08-26 08:19:01,4,488,39,48,497,Delivered
O0000103,C001956,R01284,M010470,D00154,2026-03-27 23:19:31,1,168,44,29,153,Delivered
O0000104,C000922,R00698,M005053,D03618,2025-10-26 00:20:38,2,736,70,48,714,Delivered
O0000105,C002366,R01261,M001154,D01708,2025-11-25 14:49:00,1,476,4,30,502,Delivered
O0000106,C003649,R00917,M000806,D02972,2026-05-11 07:07:50,4,2656,61,26,2621,Delivered
O0000107,C002975,R00175,M012249,D01213,2025-09-06 07:55:29,1,169,43,25,151,Delivered
O0000108,C001793,R00759,M005304,D01059,2026-05-20 17:19:21,2,958,80,35,913,Delivered
O0000109,C004879,R00850,M007333,D01704,2025-11-10 05:44:15,1,580,39,43,584,Delivered
O0000110,C000652,R01223,M013767,D02854,2026-04-09 14:13:12,2,698,16,22,704,Delivered
O0000111,C001518,R00814,M010702,D01516,2025-10-24 19:11:10,1,582,74,51,559,Cancelled
O0000112,C000486,R00813,M001488,D01504,2025-07-05 20:17:25,3,849,22,59,886,Delivered
O0000113,C003949,R00911,M001728,D01126,2025-11-07 07:59:22,3,1260,5,60,1315,Delivered
O0000114,C000625,R00910,M005346,D02457,2026-05-14 16:59:31,1,689,35,51,705,Delivered
O0000115,C000679,R00570,M013301,D01008,2026-06-04 06:39:21,1,680,66,58,672,Delivered
O0000116,C001983,R01005,M000942,D02456,2025-08-02 17:11:10,1,408,24,50,434,Delivered
O0000117,C001175,R00467,M005924,D03002,2025-10-01 02:06:50,3,1317,44,24,1297,Delivered
O0000118,C004279,R00237,M001812,D02687,2025-08-29 06:08:52,4,700,20,48,728,Delivered
O0000119,C003068,R01364,M012329,D01723,2025-08-04 09:25:25,4,764,32,25,757,Delivered
O0000120,C004068,R00879,M014756,D01595,2026-04-19 22:31:08,4,992,35,53,1010,Delivered
O0000121,C001249,R00673,M005646,D03502,2026-05-04 11:08:22,4,484,69,20,435,Delivered
O0000122,C002376,R01220,M006215,D03974,2025-07-02 02:57:46,3,1554,44,54,1564,Delivered
O0000123,C000876,R00120,M008235,D01032,2025-10-30 12:37:30,4,604,31,56,629,Delivered
O0000124,C002557,R01211,M002839,D00141,2026-02-15 09:06:28,4,2512,86,26,2452,Delivered
O0000125,C000237,R00687,M014102,D03388,2025-10-31 09:37:23,4,2472,89,53,2436,Delivered
O0000126,C004497,R00759,M014355,D02026,2026-03-02 11:54:30,1,619,34,47,632,Delivered
O0000127,C001672,R01337,M001477,D02056,2025-08-05 15:49:09,4,2284,40,25,2269,Delivered
O0000128,C000315,R00548,M010614,D00923,2025-12-25 00:02:12,3,1650,61,28,1617,Delivered
O0000129,C002798,R00414,M013357,D02471,2025-12-07 06:48:55,2,362,34,50,378,Delivered
O0000130,C000825,R01125,M010569,D00887,2025-07-21 05:50:53,3,1743,66,35,1712,Cancelled
O0000131,C002617,R01479,M013730,D01583,2026-05-15 16:11:41,3,1536,70,41,1507,Delivered
O0000132,C000125,R00053,M001005,D03935,2025-12-17 05:19:53,2,780,71,44,753,Delivered
O0000133,C002682,R00331,M008003,D00395,2026-05-02 04:22:34,2,1118,75,48,1091,Delivered
O0000134,C004727,R00074,M006677,D00480,2026-05-03 10:20:33,3,2055,46,26,2035,Delivered
O0000135,C002724,R00218,M011345,D00454,2025-08-18 01:23:39,4,1852,100,29,1781,Delivered
O0000136,C004311,R01176,M003860,D01238,2026-04-07 08:09:09,2,348,29,29,348,Delivered
O0000137,C002085,R00641,M010495,D01417,2026-05-23 14:14:02,1,661,96,50,615,Delivered
O0000138,C000752,R00923,M001671,D01271,2025-08-15 23:31:54,1,251,32,50,269,Delivered
O0000139,C000499,R00279,M005520,D03936,2026-01-07 10:43:21,2,636,44,42,634,Delivered
O0000140,C001815,R00937,M010338,D03384,2026-02-04 07:28:33,2,884,13,34,905,Delivered
O0000141,C003728,R01088,M002015,D03828,2026-04-13 11:50:54,1,463,39,26,450,Delivered
O0000142,C003326,R00497,M013981,D01346,2026-03-28 07:22:56,4,2692,34,39,2697,Delivered
O0000143,C002540,R01249,M002702,D02785,2025-12-09 08:56:27,4,2496,0,49,2545,Delivered
O0000144,C001712,R01436,M006773,D02893,2025-08-16 04:37:51,2,194,42,49,201,Delivered
O0000145,C001679,R00841,M002953,D01001,2025-11-14 06:41:10,2,1142,18,50,1174,Delivered
O0000146,C002374,R00743,M002695,D02878,2026-02-16 18:54:10,1,591,79,32,544,Delivered
O0000147,C001403,R00086,M001386,D02492,2026-03-24 15:15:54,1,380,98,45,327,Delivered
O0000148,C002816,R00947,M006391,D00811,2025-06-26 00:03:22,3,1164,1,26,1189,Delivered
O0000149,C000201,R00463,M011997,D00749,2025-11-01 14:36:49,1,452,43,34,443,Delivered
O0000150,C002552,R01161,M009375,D00592,2026-03-08 03:26:34,2,942,36,37,943,Delivered
O0000151,C004925,R00934,M001646,D01617,2025-08-27 09:25:28,2,378,54,54,378,Delivered
O0000152,C004503,R01500,M008409,D00521,2025-07-16 09:35:05,3,948,45,43,946,Delivered
O0000153,C001157,R00926,M007611,D00537,2026-03-05 12:07:00,1,627,76,57,608,Delivered
O0000154,C004087,R00904,M009422,D02274,2025-11-11 09:40:57,1,599,7,28,620,Delivered
O0000155,C003234,R01484,M009251,D02681,2025-10-09 01:10:38,3,1824,8,55,1871,Delivered
O0000156,C004178,R00496,M013051,D03113,2025-12-17 05:13:51,3,1434,61,27,1400,Delivered
O0000157,C003370,R00066,M011233,D00307,2026-04-05 07:52:27,1,682,36,35,681,Cancelled
O0000158,C001471,R00931,M007776,D02583,2025-10-13 04:00:36,2,402,90,23,335,Delivered
O0000159,C003943,R01381,M000966,D01591,2025-07-08 19:19:20,4,600,48,28,580,Delivered
O0000160,C000073,R00815,M002203,D03734,2026-01-14 13:18:33,2,588,9,27,606,Delivered
O0000161,C000910,R00659,M000448,D02942,2026-02-25 02:14:18,2,186,12,46,220,Delivered
O0000162,C001134,R00861,M001993,D01546,2026-01-31 17:16:33,2,740,42,36,734,Delivered
O0000163,C001727,R00777,M000380,D01201,2026-02-25 08:03:43,2,676,86,60,650,Delivered
O0000164,C000206,R01169,M000583,D02899,2026-04-21 04:01:56,3,825,65,56,816,Delivered
O0000165,C003679,R00200,M009572,D00932,2025-08-13 16:11:04,4,2112,27,37,2122,Delivered
O0000166,C003687,R00410,M002239,D00280,2026-06-13 11:58:15,1,339,35,40,344,Delivered
O0000167,C000468,R00621,M014265,D00729,2025-11-12 10:55:05,3,1254,28,21,1247,Delivered
O0000168,C000354,R00684,M009819,D03269,2026-02-23 18:28:18,2,728,97,45,676,Delivered
O0000169,C000328,R00652,M003297,D03836,2026-05-03 07:54:20,1,375,69,36,342,Delivered
O0000170,C004392,R00206,M008336,D02417,2026-03-09 01:27:09,2,780,34,47,793,Delivered
O0000171,C001864,R00113,M001425,D03961,2025-08-31 14:43:54,1,565,68,56,553,Delivered
O0000172,C001690,R00190,M003015,D00403,2026-04-05 19:34:45,1,201,41,51,211,Delivered
O0000173,C000595,R00674,M000621,D03086,2025-10-04 22:10:51,3,498,42,44,500,Delivered
O0000174,C002123,R00566,M014603,D02781,2026-05-21 15:45:03,4,1384,29,20,1375,Delivered
O0000175,C004125,R00928,M001170,D03047,2025-07-30 23:36:45,4,1252,51,38,1239,Delivered
O0000176,C000112,R00040,M003926,D02255,2026-05-18 02:52:30,3,1245,40,44,1249,Delivered
O0000177,C002906,R01386,M001243,D03270,2025-10-27 05:13:13,2,1144,56,23,1111,Delivered
O0000178,C001786,R00576,M011964,D03224,2025-08-16 09:25:05,4,2532,22,46,2556,Delivered
O0000179,C000772,R01022,M006003,D03061,2026-03-22 07:49:44,1,200,36,35,199,Delivered
O0000180,C004429,R00563,M008857,D01983,2025-11-16 10:12:00,4,2508,11,56,2553,Delivered
O0000181,C000313,R00855,M002326,D01657,2025-11-16 09:50:34,1,678,7,59,730,Delivered
O0000182,C003879,R01045,M011692,D02782,2026-06-06 02:43:50,1,86,19,33,100,Delivered
O0000183,C003383,R00549,M001310,D00582,2025-12-08 08:25:28,2,1192,32,31,1191,Delivered
O0000184,C004568,R00377,M004251,D02955,2026-05-13 14:36:04,2,470,33,49,486,Cancelled
O0000185,C001348,R00413,M006083,D00005,2025-11-08 06:44:36,2,1398,37,21,1382,Delivered
O0000186,C000020,R00029,M010456,D00542,2026-03-30 05:45:00,3,816,54,56,818,Delivered
O0000187,C004855,R01406,M004792,D01084,2025-10-05 16:38:04,3,1728,57,36,1707,Delivered
O0000188,C002705,R00168,M002470,D03557,2026-05-22 15:03:06,1,271,1,34,304,Delivered
O0000189,C002026,R00092,M005873,D00708,2025-12-27 12:38:12,1,211,5,40,246,Delivered
O0000190,C001691,R00546,M012898,D03734,2026-06-06 17:59:29,4,360,95,35,300,Delivered
O0000191,C001626,R01042,M000385,D01175,2026-01-27 16:44:36,1,272,37,54,289,Delivered
O0000192,C001586,R00480,M014048,D00197,2025-11-22 23:23:30,1,300,32,60,328,Delivered
O0000193,C004099,R01418,M013574,D00779,2026-05-05 05:24:20,1,303,50,36,289,Delivered
O0000194,C002123,R01289,M011055,D02160,2025-11-06 19:21:18,1,679,10,51,720,Delivered
O0000195,C000250,R00504,M004086,D01678,2025-07-29 13:47:24,1,129,69,44,104,Cancelled
O0000196,C003867,R00859,M008932,D00414,2026-01-23 02:05:26,2,786,70,59,775,Delivered
O0000197,C000369,R00917,M005765,D02161,2025-09-30 00:21:32,2,308,26,44,326,Delivered
O0000198,C002981,R00691,M006691,D03476,2026-05-03 06:48:32,3,1188,47,44,1185,Delivered
O0000199,C000365,R00420,M006974,D03153,2025-08-05 09:29:56,3,630,8,22,644,Cancelled
O0000200,C002385,R00878,M003051,D03000,2026-04-13 23:06:37,3,930,37,33,926,Delivered
O0000201,C003311,R01187,M008632,D01984,2025-07-12 09:09:26,3,1341,29,60,1372,Delivered
O0000202,C000197,R00113,M001779,D00585,2025-11-06 12:43:34,2,958,18,24,964,Delivered
O0000203,C000864,R00010,M008088,D02520,2025-12-15 14:45:47,2,726,51,32,707,Delivered
O0000204,C000676,R00068,M003980,D02285,2025-12-13 10:49:23,4,700,22,29,707,Delivered
O0000205,C004965,R01208,M004018,D02791,2026-06-11 02:15:22,4,1124,40,46,1130,Delivered
O0000206,C003575,R00152,M007762,D00753,2026-05-08 19:15:20,3,1722,30,23,1715,Delivered
O0000207,C002767,R01494,M014069,D01017,2025-10-18 15:14:40,2,1286,40,52,1298,Delivered
O0000208,C001262,R00760,M005136,D03445,2026-01-01 14:25:45,3,1812,93,51,1770,Delivered
O0000209,C000522,R00176,M006700,D00664,2026-02-11 23:15:11,1,582,46,43,579,Delivered
O0000210,C003556,R00140,M001356,D03517,2026-03-14 00:16:57,2,1068,31,39,1076,Delivered
O0000211,C001321,R00391,M000910,D03758,2026-05-12 20:17:22,1,686,59,29,656,Cancelled
O0000212,C004276,R00709,M009414,D01472,2026-01-23 23:32:00,4,860,20,56,896,Delivered
O0000213,C003353,R01376,M005459,D02996,2025-12-05 12:34:42,1,172,29,37,180,Delivered
O0000214,C002932,R00244,M003905,D01981,2026-03-14 21:00:50,1,230,14,40,256,Delivered
O0000215,C004667,R01192,M004503,D01913,2025-07-07 21:29:32,2,352,61,59,350,Delivered
O0000216,C002048,R00915,M011324,D00303,2025-11-09 10:16:13,1,453,57,44,440,Delivered
O0000217,C004814,R00901,M002415,D02616,2026-03-26 19:38:32,2,976,7,34,1003,Delivered
O0000218,C003234,R01420,M004671,D00572,2026-03-08 21:10:21,3,1323,13,33,1343,Delivered
O0000219,C001673,R01200,M014755,D00783,2026-03-22 15:48:39,1,122,82,21,61,Delivered
O0000220,C001809,R01439,M001237,D02132,2026-02-16 11:40:31,1,563,16,49,596,Delivered
O0000221,C004208,R01067,M012806,D02306,2025-07-21 10:32:22,2,708,47,45,706,Delivered
O0000222,C003381,R00924,M010105,D01231,2026-03-23 13:17:53,3,837,70,31,798,Delivered
O0000223,C000985,R00693,M002500,D03026,2025-11-19 08:40:53,2,1394,22,57,1429,Delivered
O0000224,C004993,R00760,M009836,D00601,2025-08-27 03:36:17,4,2684,50,36,2670,Delivered
O0000225,C000959,R00993,M013120,D00165,2025-10-05 04:46:16,1,551,11,29,569,Delivered
O0000226,C003424,R00984,M010205,D01208,2026-05-10 01:47:12,1,639,37,32,634,Delivered
O0000227,C003992,R00991,M000870,D03410,2026-05-04 04:20:04,3,1557,40,21,1538,Delivered
O0000228,C003240,R01458,M010196,D00147,2025-10-08 20:34:08,1,175,46,52,181,Delivered
O0000229,C003495,R00009,M009471,D02480,2025-08-30 07:10:35,1,424,99,53,378,Cancelled
O0000230,C001664,R00704,M012099,D03288,2026-02-07 21:04:13,1,324,58,27,293,Delivered
O0000231,C001840,R00721,M013145,D02620,2025-10-01 04:52:31,1,695,48,20,667,Delivered
O0000232,C000326,R01281,M011237,D01447,2025-12-30 16:58:51,1,206,54,31,183,Delivered
O0000233,C000068,R00559,M012505,D02937,2026-04-04 03:25:12,1,436,69,37,404,Cancelled
O0000234,C002286,R01373,M009321,D02459,2026-04-27 21:16:14,4,860,20,57,897,Delivered
O0000235,C000904,R00755,M009605,D03573,2026-02-08 15:42:52,3,1104,67,51,1088,Delivered
O0000236,C000787,R00350,M011497,D00516,2026-04-28 05:32:03,1,240,15,58,283,Delivered
O0000237,C004791,R00123,M000206,D02352,2026-03-26 16:14:12,4,1368,38,42,1372,Delivered
O0000238,C002101,R00906,M014657,D03613,2026-04-05 21:56:49,2,1104,33,34,1105,Delivered
O0000239,C003671,R00470,M000173,D02869,2026-03-10 20:38:54,4,1444,30,43,1457,Delivered
O0000240,C003491,R01234,M013571,D02076,2025-10-13 09:09:41,3,453,30,29,452,Delivered
O0000241,C001911,R00185,M002846,D00738,2026-01-01 05:25:36,4,2308,86,31,2253,Delivered
O0000242,C004690,R01195,M000896,D00633,2025-08-20 00:58:48,2,1202,50,23,1175,Delivered
O0000243,C004072,R00609,M013996,D01437,2026-03-08 11:44:32,1,431,42,44,433,Delivered
O0000244,C004243,R01333,M008974,D00958,2026-05-13 06:39:49,4,2748,4,32,2776,Delivered
O0000245,C002711,R00288,M013961,D02002,2026-01-07 02:25:16,2,636,37,36,635,Delivered
O0000246,C004825,R01461,M012441,D01328,2026-05-12 18:50:45,4,324,63,30,291,Delivered
O0000247,C000255,R00092,M014571,D00424,2025-09-22 23:48:37,1,634,53,27,608,Delivered
O0000248,C003919,R01408,M006611,D02867,2025-06-25 11:30:38,1,371,69,33,335,Delivered
O0000249,C004603,R00225,M005803,D00488,2025-07-24 09:33:42,4,2248,18,27,2257,Delivered
O0000250,C002697,R01390,M003498,D01204,2026-04-15 07:17:10,1,273,20,38,291,Delivered
O0000251,C002434,R00854,M004991,D01380,2025-12-23 14:11:52,3,1410,23,20,1407,Delivered
O0000252,C000227,R00080,M013085,D03886,2025-07-01 19:56:53,1,503,55,29,477,Delivered
O0000253,C000127,R00267,M009202,D01545,2026-06-17 08:22:07,4,2396,75,56,2377,Delivered
O0000254,C000406,R00446,M000981,D00790,2025-10-03 18:22:02,4,1484,5,59,1538,Delivered
O0000255,C000691,R00803,M003021,D01246,2026-05-20 04:25:54,4,1512,44,33,1501,Delivered
O0000256,C002605,R01353,M012235,D02620,2025-12-10 02:00:39,2,1130,31,53,1152,Delivered
O0000257,C000014,R00363,M005874,D03137,2026-05-03 13:10:06,3,462,63,35,434,Delivered
O0000258,C004972,R01077,M009878,D00830,2026-04-13 13:55:14,3,312,57,42,297,Delivered
O0000259,C000897,R00788,M012350,D00785,2025-08-02 01:46:01,1,289,40,60,309,Delivered
O0000260,C004812,R00957,M009455,D00623,2025-10-07 23:21:51,3,1023,90,23,956,Delivered
O0000261,C003771,R00564,M009380,D01833,2026-05-19 11:11:53,2,1266,53,55,1268,Delivered
O0000262,C000182,R01031,M005639,D00450,2025-10-16 04:20:42,2,524,36,49,537,Delivered
O0000263,C003410,R00323,M010831,D03446,2026-03-03 09:48:51,4,2444,47,43,2440,Delivered
O0000264,C001147,R00366,M010769,D00357,2025-08-25 10:30:24,4,668,8,25,685,Delivered
O0000265,C004156,R01428,M012238,D03410,2026-03-21 15:23:40,3,1875,46,32,1861,Delivered
O0000266,C003855,R00371,M003901,D02753,2025-07-08 03:08:03,4,1040,25,30,1045,Delivered
O0000267,C002484,R00173,M005977,D02932,2025-11-18 23:13:44,1,518,35,45,528,Delivered
O0000268,C000787,R00132,M000718,D00153,2025-12-28 22:34:40,3,1077,17,56,1116,Delivered
O0000269,C000739,R00631,M003705,D03026,2026-03-09 01:03:18,3,1857,12,42,1887,Delivered
O0000270,C000106,R00935,M009556,D00160,2025-10-09 11:01:04,4,2104,57,41,2088,Delivered
O0000271,C004329,R01168,M002074,D00341,2025-07-22 11:26:57,2,406,6,56,456,Delivered
O0000272,C001465,R00377,M004227,D03684,2026-03-27 23:19:06,1,490,22,48,516,Delivered
O0000273,C000742,R00808,M000318,D03638,2025-12-23 13:31:19,2,904,92,58,870,Delivered
O0000274,C004002,R00475,M008042,D02622,2026-03-11 19:56:20,2,1332,30,29,1331,Delivered
O0000275,C000814,R00207,M003868,D03238,2026-02-14 20:50:59,4,1868,28,23,1863,Delivered
O0000276,C001403,R00471,M009618,D02194,2026-02-06 02:08:10,3,1077,85,30,1022,Delivered
O0000277,C003306,R00429,M009250,D01608,2026-04-06 14:35:57,1,274,68,48,254,Delivered
O0000278,C000132,R00554,M004001,D02687,2026-01-07 00:14:42,2,936,28,29,937,Delivered
