review_id,order_id,customer_id,restaurant_rating,delivery_rating
RV0043032,O0043056,C004901,5,4
RV0038913,O0038932,C002759,3,3
RV0014036,O0014044,C003505,5,5
RV0044890,O0044915,C004568,5,5
RV0034377,O0034393,C002870,5,5
RV0001118,O0001119,C003158,4,4
RV0015359,O0015367,C000662,3,3
RV0000672,O0000673,C002983,4,4
RV0004256,O0004257,C001776,5,3
RV0047745,O0047773,C003342,3,3
RV0010050,O0010055,C001583,3,3
RV0025057,O0025067,C004417,4,4
RV0025674,O0025684,C001943,3,5
RV0030291,O0030304,C004386,4,3
RV0048098,O0048126,C003136,5,5
RV0048342,O0048370,C000835,3,5
RV0037391,O0037409,C001068,4,4
RV0049450,O0049480,C000169,4,4
RV0037906,O0037924,C004987,4,5
RV0011044,O0011050,C004414,4,5
RV0006262,O0006264,C004508,3,4
RV0031214,O0031228,C003918,5,4
RV0029606,O0029619,C001249,4,5
RV0035650,O0035666,C003658,4,5
RV0045899,O0045925,C002843,5,3
RV0031710,O0031724,C004579,4,3
RV0006400,O0006403,C002296,4,3
RV0039817,O0039838,C003576,4,4
RV0033456,O0033471,C001712,5,3
RV0005803,O0005805,C004258,3,3
RV0029117,O0029130,C004788,4,5
RV0032010,O0032025,C001598,5,3
RV0047812,O0047840,C002705,5,4
RV0025080,O0025090,C003477,5,4
RV0043079,O0043103,C001472,4,5
RV0017134,O0017142,C001401,5,5
RV0004128,O0004129,C000703,3,3
RV0020252,O0020262,C001520,4,3
RV0013624,O0013631,C001042,4,4
RV0015236,O0015244,C002125,4,5
RV0047563,O0047591,C004586,3,4
RV0005908,O0005910,C003835,5,5
RV0027084,O0027096,C000515,4,5
RV0033155,O0033170,C001960,4,3
RV0015871,O0015879,C004382,5,5
RV0004759,O0004761,C001429,5,3
RV0033794,O0033809,C002125,4,5
RV0048642,O0048670,C002909,5,3
RV0043654,O0043678,C000411,5,4
RV0006954,O0006957,C003151,5,3
RV0043115,O0043139,C003984,4,3
RV0025961,O0025971,C001663,4,5
RV0008718,O0008723,C000622,4,4
RV0038868,O0038887,C001161,4,5
RV0013400,O0013407,C001404,4,5
RV0025581,O0025591,C001055,4,5
RV0006778,O0006781,C001029,5,4
RV0002530,O0002531,C002448,5,4
RV0020736,O0020746,C000931,4,4
RV0038007,O0038025,C000166,5,3
RV0005010,O0005012,C004143,4,5
RV0033493,O0033508,C000867,3,3
RV0005245,O0005247,C003382,4,5
RV0029543,O0029556,C003292,5,3
RV0038873,O0038892,C003113,4,4
RV0043144,O0043168,C002029,3,4
RV0006890,O0006893,C002207,5,4
RV0014169,O0014177,C002055,4,5
RV0008407,O0008412,C000775,4,5
RV0027096,O0027108,C003581,5,4
RV0045437,O0045462,C002544,5,5
RV0027797,O0027810,C000669,4,3
RV0029370,O0029383,C001915,4,5
RV0049775,O0049805,C003492,4,4
RV0037976,O0037994,C000346,5,5
RV0037171,O0037189,C000795,3,4
RV0045364,O0045389,C003626,5,3
RV0016694,O0016702,C000369,3,3
RV0044627,O0044652,C003027,3,3
RV0014971,O0014979,C000509,3,4
RV0008525,O0008530,C002764,4,3
RV0010175,O0010180,C001091,3,3
RV0020624,O0020634,C003753,5,5
RV0009606,O0009611,C003193,5,3
RV0043926,O0043950,C002505,5,5
RV0041554,O0041576,C000431,4,5
RV0030894,O0030908,C000483,5,3
RV0040442,O0040464,C004414,4,5
RV0004772,O0004774,C001071,4,4
RV0016726,O0016734,C004680,4,5
RV0044492,O0044516,C003230,5,4
RV0016612,O0016620,C003946,5,4
RV0044274,O0044298,C001261,4,3
RV0006576,O0006579,C004178,3,4
RV0024458,O0024468,C001555,5,3
RV0020512,O0020522,C003353,4,5
RV0033704,O0033719,C004730,3,4
RV0021479,O0021489,C001341,5,3
RV0001900,O0001901,C004981,5,5
RV0018592,O0018602,C001375,5,5
RV0006322,O0006324,C001598,3,4
RV0013310,O0013317,C004814,4,5
RV0043325,O0043349,C003139,3,3
RV0039103,O0039123,C004798,5,3
RV0019723,O0019733,C003947,3,4
RV0011732,O0011739,C003086,5,4
RV0003785,O0003786,C001413,3,3
RV0020123,O0020133,C003022,4,3
RV0031565,O0031579,C004392,4,5
RV0029646,O0029659,C003207,5,5
RV0022177,O0022187,C001656,3,5
RV0005227,O0005229,C002261,5,4
RV0006804,O0006807,C003679,3,4
RV0046466,O0046493,C004193,3,4
RV0036728,O0036746,C001812,5,4
RV0006056,O0006058,C004972,3,5
RV0035778,O0035794,C004431,5,4
RV0003604,O0003605,C002666,5,5
RV0009389,O0009394,C001042,5,4
RV0021028,O0021038,C003443,5,4
RV0037843,O0037861,C002555,4,4
RV0011960,O0011967,C003257,3,3
RV0047284,O0047312,C002343,4,4
RV0006687,O0006690,C001414,5,3
RV0021838,O0021848,C001948,3,3
RV0029708,O0029721,C004470,3,5
RV0041948,O0041970,C001154,4,4
RV0048334,O0048362,C004922,5,3
RV0004086,O0004087,C004669,5,5
RV0043047,O0043071,C002006,5,5
RV0047581,O0047609,C001797,3,4
RV0037088,O0037106,C004746,4,3
RV0011337,O0011343,C004007,4,3
RV0039879,O0039900,C002611,5,5
RV0008404,O0008409,C002771,3,5
RV0036479,O0036497,C004076,5,3
RV0046429,O0046456,C000886,5,5
RV0017827,O0017836,C002650,3,3
RV0023288,O0023298,C003332,4,4
RV0009068,O0009073,C004462,4,3
RV0015130,O0015138,C001471,4,4
RV0017901,O0017911,C004022,4,3
RV0014774,O0014782,C002146,4,4
RV0000147,O0000148,C002816,5,5
RV0001822,O0001823,C000714,4,5
RV0012980,O0012987,C004395,4,4
RV0010598,O0010603,C003273,5,3
RV0009451,O0009456,C004005,4,3
RV0000292,O0000293,C000365,4,4
RV0009648,O0009653,C002528,5,5
RV0032878,O0032893,C001326,5,3
RV0032672,O0032687,C004113,5,4
RV0015022,O0015030,C003559,5,4
RV0022587,O0022597,C000207,5,3
RV0000508,O0000509,C002179,5,3
RV0042171,O0042193,C002346,5,4
RV0019529,O0019539,C003865,3,5
RV0026713,O0026724,C003412,4,3
RV0028912,O0028925,C001303,5,4
RV0048607,O0048635,C000903,3,3
RV0022988,O0022998,C004800,4,3
RV0015897,O0015905,C004984,3,4
RV0011262,O0011268,C003621,5,4
RV0048035,O0048063,C000863,3,4
RV0032752,O0032767,C004392,3,5
RV0029898,O0029911,C001737,3,3
RV0029807,O0029820,C002876,5,3
RV0006850,O0006853,C000420,5,5
RV0026210,O0026220,C002934,5,4
RV0013370,O0013377,C004012,3,3
RV0038257,O0038275,C002383,3,3
RV0013182,O0013189,C003021,5,5
RV0024534,O0024544,C003943,5,5
RV0000659,O0000660,C001135,3,5
RV0048370,O0048398,C002722,5,4
RV0018399,O0018409,C003886,5,3
RV0027436,O0027449,C001272,5,3
RV0000262,O0000263,C003410,5,4
RV0026317,O0026327,C000721,4,5
RV0031938,O0031953,C003076,4,4
RV0015805,O0015813,C001255,3,3
RV0044132,O0044156,C001719,4,3
RV0012733,O0012740,C002092,4,3
RV0023079,O0023089,C000911,3,4
RV0049124,O0049153,C004861,5,4
RV0003885,O0003886,C002105,5,4
RV0014337,O0014345,C004573,5,3
RV0046967,O0046994,C003692,5,5
RV0035352,O0035368,C001649,3,4
RV0034170,O0034185,C003948,5,4
RV0033121,O0033136,C002199,4,3
RV0044396,O0044420,C002186,5,4
RV0011645,O0011651,C003143,4,4
RV0021659,O0021669,C002347,3,4
RV0041229,O0041251,C001051,4,5
RV0015821,O0015829,C002508,5,5
RV0036105,O0036123,C001445,3,5
RV0034871,O0034887,C001706,5,4
RV0029879,O0029892,C002958,5,3
RV0025042,O0025052,C001562,3,5
RV0048386,O0048414,C002998,3,5
RV0026656,O0026667,C002434,5,3
RV0028606,O0028619,C003747,5,4
RV0017455,O0017464,C004903,3,4
RV0007677,O0007681,C000114,4,5
RV0018144,O0018154,C002483,5,3
RV0046928,O0046955,C003874,3,4
RV0011032,O0011038,C003297,4,5
RV0008393,O0008398,C002471,5,4
RV0038305,O0038323,C000601,5,3
RV0012187,O0012194,C003755,4,5
RV0034331,O0034346,C004106,3,3
RV0018299,O0018309,C003402,3,4
RV0036511,O0036529,C004779,4,5
RV0004155,O0004156,C003573,5,4
RV0005876,O0005878,C001358,5,3
RV0029649,O0029662,C000491,4,3
RV0021013,O0021023,C004205,4,4
RV0013835,O0013842,C004465,5,5
RV0009733,O0009738,C004060,3,5
RV0037403,O0037421,C001608,3,4
RV0031421,O0031435,C002526,4,5
RV0048043,O0048071,C003783,4,5
RV0007646,O0007650,C001123,4,3
RV0039433,O0039454,C002687,3,5
RV0030650,O0030663,C002655,4,4
RV0030452,O0030465,C003418,4,5
RV0016522,O0016530,C000572,3,4
RV0008658,O0008663,C002256,4,3
RV0042083,O0042105,C004391,3,3
RV0004070,O0004071,C003340,5,5
RV0022325,O0022335,C002706,4,3
RV0027686,O0027699,C002443,4,3
RV0009061,O0009066,C001795,5,3
RV0028104,O0028117,C002390,4,4
RV0022877,O0022887,C003437,3,3
RV0045564,O0045589,C000836,3,4
RV0016662,O0016670,C000668,4,3
RV0001566,O0001567,C000665,4,4
RV0013744,O0013751,C004421,3,3
RV0017497,O0017506,C003156,3,4
RV0035898,O0035914,C004598,3,4
RV0026542,O0026553,C002491,5,5
RV0003221,O0003222,C004261,4,3
RV0014261,O0014269,C003555,4,5
RV0031557,O0031571,C002668,3,3
RV0038643,O0038662,C003366,4,3
RV0039769,O0039790,C001733,3,3
RV0002672,O0002673,C004075,3,5
RV0033864,O0033879,C003256,3,5
RV0006111,O0006113,C002185,3,4
RV0019511,O0019521,C000570,5,5
RV0021626,O0021636,C004443,5,5
RV0025109,O0025119,C002901,3,3
RV0042692,O0042715,C004958,3,3
RV0045524,O0045549,C002925,3,5
RV0015056,O0015064,C004316,3,3
RV0021345,O0021355,C001409,5,3
RV0040793,O0040815,C000607,3,4
RV0039142,O0039162,C000967,4,5
RV0031680,O0031694,C001713,3,3
RV0040058,O0040079,C000364,5,3
RV0011474,O0011480,C003880,3,3
RV0000985,O0000986,C004272,3,5
RV0029469,O0029482,C004632,4,5
RV0007499,O0007503,C002941,4,3
RV0046095,O0046121,C003387,4,4
RV0021980,O0021990,C003728,4,5
RV0025151,O0025161,C002168,4,3
RV0003519,O0003520,C002025,4,3
RV0001406,O0001407,C004137,3,4
RV0006653,O0006656,C004443,4,4
RV0035415,O0035431,C001932,4,3
RV0038982,O0039001,C004744,3,5
RV0023445,O0023455,C002776,3,5
RV0003661,O0003662,C001347,4,3
RV0015108,O0015116,C004446,3,3
RV0035630,O0035646,C001557,4,3
RV0042937,O0042960,C004074,3,3
RV0022265,O0022275,C004782,5,4
RV0038903,O0038922,C002074,4,5
RV0004469,O0004470,C003988,3,3
RV0036423,O0036441,C000419,4,5
RV0039408,O0039429,C002387,3,3
RV0018726,O0018736,C000669,5,4
RV0038933,O0038952,C004954,3,5
RV0024441,O0024451,C000527,3,4
RV0039293,O0039313,C002876,4,4
RV0015262,O0015270,C001477,5,4
RV0036308,O0036326,C004561,5,3
RV0001590,O0001591,C002989,3,5
RV0009549,O0009554,C004762,5,5
RV0027336,O0027349,C000730,4,5
RV0003279,O0003280,C004368,5,5
RV0010798,O0010804,C002881,4,5
RV0047470,O0047498,C000845,5,3
RV0023349,O0023359,C002380,5,5
RV0017812,O0017821,C001451,5,3
RV0016711,O0016719,C002956,4,5
RV0044451,O0044475,C003046,5,5
RV0048161,O0048189,C001536,4,4
RV0047744,O0047772,C003141,4,3
RV0014881,O0014889,C001793,5,4
RV0044443,O0044467,C000063,5,3
RV0045944,O0045970,C004316,4,5
RV0036438,O0036456,C001257,4,4
RV0019051,O0019061,C003722,4,3
RV0026131,O0026141,C003706,5,5
RV0032339,O0032354,C004088,3,3
RV0025445,O0025455,C001657,5,3
RV0020355,O0020365,C004986,4,3
RV0030601,O0030614,C002416,5,4
RV0035787,O0035803,C004947,5,3
RV0034922,O0034938,C004929,4,4
RV0045877,O0045903,C003720,4,3
RV0011808,O0011815,C001486,4,5
RV0001792,O0001793,C000279,3,5
RV0046548,O0046575,C001326,5,4
RV0005466,O0005468,C001134,3,3
RV0045621,O0045646,C001355,4,5
RV0049008,O0049036,C004536,3,5
RV0025234,O0025244,C002729,4,3
RV0047091,O0047118,C001164,3,3
RV0039712,O0039733,C004900,5,4
RV0022860,O0022870,C001095,5,4
RV0012551,O0012558,C002106,4,3
RV0007478,O0007482,C002919,4,4
RV0048536,O0048564,C003864,3,3
RV0011100,O0011106,C001678,4,3
RV0030156,O0030169,C001097,4,5
RV0001388,O0001389,C004184,5,5
RV0013637,O0013644,C002143,3,4
RV0001941,O0001942,C000867,5,4
RV0009661,O0009666,C000712,5,4
RV0021056,O0021066,C000849,3,3
RV0027451,O0027464,C002332,3,4
RV0010894,O0010900,C000394,4,5
RV0013989,O0013997,C000449,4,3
RV0007360,O0007364,C004563,3,3
RV0048923,O0048951,C002740,4,3
RV0036054,O0036072,C004176,3,4
RV0009621,O0009626,C003818,3,5
RV0021022,O0021032,C002015,4,5
RV0047480,O0047508,C001329,5,5
RV0000314,O0000315,C000823,4,5
RV0048021,O0048049,C002927,4,4
RV0013683,O0013690,C000598,4,3
RV0012556,O0012563,C001748,4,5
RV0001599,O0001600,C004768,5,5
RV0018478,O0018488,C003280,3,4
RV0031564,O0031578,C000868,4,3
RV0028326,O0028339,C001749,3,3
RV0019013,O0019023,C000079,5,4
RV0025486,O0025496,C004035,5,3
RV0030546,O0030559,C004474,3,4
RV0004119,O0004120,C004695,5,3
RV0000708,O0000709,C004010,3,4
RV0009744,O0009749,C001596,5,4
RV0022853,O0022863,C004149,4,3
RV0021231,O0021241,C003032,4,5
RV0012065,O0012072,C004344,4,5
RV0008517,O0008522,C001320,3,4
RV0035962,O0035979,C002479,4,3
RV0022147,O0022157,C001775,3,3
RV0034389,O0034405,C004101,5,5
RV0004855,O0004857,C004141,4,5
RV0045566,O0045591,C001807,3,5
RV0048870,O0048898,C000635,4,3
RV0005222,O0005224,C002963,5,3
RV0022629,O0022639,C002154,5,3
RV0029852,O0029865,C001706,5,5
RV0018273,O0018283,C001075,5,3
RV0030605,O0030618,C003034,3,5
RV0046213,O0046239,C003792,3,5
RV0036008,O0036025,C000987,3,5
RV0028338,O0028351,C001318,5,4
RV0004248,O0004249,C004728,5,5
RV0014934,O0014942,C000574,4,3
RV0025248,O0025258,C004436,5,5
RV0001003,O0001004,C002790,5,5
RV0038633,O0038652,C000666,3,5
RV0008883,O0008888,C000735,4,5
RV0019475,O0019485,C004197,5,3
RV0045425,O0045450,C002460,4,4
RV0041686,O0041708,C001529,5,3
RV0049473,O0049503,C001462,4,5
RV0031974,O0031989,C002267,3,3
RV0043708,O0043732,C002815,5,3
RV0019646,O0019656,C004225,5,5
RV0001498,O0001499,C002569,5,3
RV0028143,O0028156,C004352,4,5
RV0031641,O0031655,C004900,3,3
RV0009738,O0009743,C003238,4,3
RV0011682,O0011688,C003471,5,5
RV0042703,O0042726,C000265,3,3
RV0005751,O0005753,C001656,5,4
RV0009100,O0009105,C004373,5,4
RV0012001,O0012008,C001656,4,3
RV0041301,O0041323,C004972,4,3
RV0024694,O0024704,C000496,5,3
RV0017757,O0017766,C000308,5,3
RV0034059,O0034074,C000581,4,3
RV0038788,O0038807,C003036,3,3
RV0018607,O0018617,C000546,3,4
RV0001122,O0001123,C002866,4,3
RV0001570,O0001571,C001362,5,4
RV0045144,O0045169,C004350,3,4
RV0020568,O0020578,C002554,5,5
RV0012757,O0012764,C004857,4,3
RV0036045,O0036063,C002433,5,3
RV0010873,O0010879,C002679,3,3
RV0005152,O0005154,C000645,5,3
RV0038103,O0038121,C004914,5,3
RV0020663,O0020673,C001001,3,3
RV0016174,O0016182,C004975,5,3
RV0037996,O0038014,C004363,4,4
RV0025096,O0025106,C003627,5,5
RV0027349,O0027362,C002093,3,4
RV0040837,O0040859,C002831,4,3
RV0046255,O0046282,C004380,4,3
RV0027535,O0027548,C004514,3,3
RV0045281,O0045306,C003116,5,3
RV0020944,O0020954,C003162,4,3
RV0017004,O0017012,C004707,3,5
RV0039953,O0039974,C001142,3,5
RV0020589,O0020599,C003230,5,5
RV0008442,O0008447,C002974,4,3
RV0024456,O0024466,C003958,5,3
RV0022777,O0022787,C003979,5,4
RV0009955,O0009960,C000848,5,5
RV0029045,O0029058,C001067,5,3
RV0037730,O0037748,C004599,3,3
RV0032871,O0032886,C002984,4,5
RV0042935,O0042958,C002481,4,3
RV0029857,O0029870,C004459,5,4
RV0028961,O0028974,C000707,3,3
RV0004315,O0004316,C000905,4,4
RV0043838,O0043862,C002913,5,5
RV0022646,O0022656,C001323,3,5
RV0004622,O0004623,C000389,4,3
RV0016730,O0016738,C000982,4,3
RV0007955,O0007960,C001274,3,3
RV0008274,O0008279,C000431,4,4
RV0006347,O0006349,C004700,4,5
RV0019664,O0019674,C002872,4,5
RV0038459,O0038478,C004155,5,5
RV0028711,O0028724,C001827,3,3
RV0024531,O0024541,C000719,5,4
RV0034833,O0034849,C003793,4,3
RV0016814,O0016822,C000474,4,3
RV0041851,O0041873,C000897,3,5
RV0037488,O0037506,C000414,5,3
RV0018046,O0018056,C000713,4,4
RV0047627,O0047655,C000032,3,5
RV0019424,O0019434,C000802,3,4
RV0020190,O0020200,C000743,3,3
RV0014922,O0014930,C000269,4,4
RV0006648,O0006651,C004861,4,4
RV0002593,O0002594,C004639,4,4
RV0002741,O0002742,C002449,5,5
RV0045748,O0045774,C002538,5,5
RV0035749,O0035765,C004655,3,3
RV0032374,O0032389,C004770,4,4
RV0049471,O0049501,C004983,5,5
RV0010852,O0010858,C004444,3,4
RV0017018,O0017026,C001279,3,4
RV0042850,O0042873,C000407,5,4
RV0002182,O0002183,C004117,4,5
RV0028581,O0028594,C002424,3,3
RV0006923,O0006926,C004642,5,5
RV0002008,O0002009,C000506,3,5
RV0011035,O0011041,C004504,3,3
RV0013671,O0013678,C004727,3,4
RV0012230,O0012237,C002165,5,3
RV0007264,O0007267,C000503,3,3
RV0018154,O0018164,C003817,5,3
RV0049666,O0049696,C003381,3,3
RV0008929,O0008934,C003043,3,3
RV0046992,O0047019,C002013,5,5
RV0023712,O0023722,C004770,4,4
RV0018917,O0018927,C002180,3,3
RV0047824,O0047852,C002268,5,4
RV0000004,O0000005,C002578,3,3
RV0041634,O0041656,C000245,4,3
RV0036908,O0036926,C004584,5,3
RV0047722,O0047750,C004003,3,3
RV0045937,O0045963,C000698,3,5
RV0027502,O0027515,C001277,3,3
RV0038222,O0038240,C002064,4,3
RV0048335,O0048363,C002404,4,5
RV0024613,O0024623,C000763,5,4
RV0022371,O0022381,C000133,3,4
RV0040789,O0040811,C004191,3,4
RV0004273,O0004274,C002658,4,5
RV0027847,O0027860,C000644,4,3
RV0031163,O0031177,C001602,5,5
RV0007982,O0007987,C002904,5,3
RV0017867,O0017877,C001969,3,5
RV0035197,O0035213,C004416,5,3
RV0027753,O0027766,C004526,3,3
RV0025438,O0025448,C000368,3,5
RV0014788,O0014796,C004080,4,4
RV0002418,O0002419,C004293,5,3
RV0049138,O0049167,C002744,4,3
RV0042782,O0042805,C004242,4,5
RV0039107,O0039127,C003535,3,3
RV0040756,O0040778,C003371,5,4
RV0004969,O0004971,C002929,4,4
RV0037025,O0037043,C001701,4,3
RV0021197,O0021207,C002334,4,3
RV0025728,O0025738,C004755,5,5
RV0047136,O0047163,C004077,5,4
RV0002493,O0002494,C004408,5,5
RV0005011,O0005013,C003285,4,5
RV0046980,O0047007,C003507,4,3
RV0027905,O0027918,C001306,3,5
RV0020204,O0020214,C000979,5,5
RV0039356,O0039376,C001543,5,3
RV0011077,O0011083,C003666,5,3
RV0037470,O0037488,C003515,5,3
RV0012372,O0012379,C004006,3,3
RV0006075,O0006077,C001285,4,4
RV0048872,O0048900,C004045,4,3
RV0004455,O0004456,C001451,3,3
RV0024749,O0024759,C003328,5,3
RV0006567,O0006570,C003878,3,5
RV0019007,O0019017,C002849,5,4
RV0033863,O0033878,C004268,5,3
RV0026175,O0026185,C003985,3,5
RV0044660,O0044685,C003327,5,3
RV0022508,O0022518,C000040,3,4
RV0009957,O0009962,C004334,3,3
RV0021812,O0021822,C002219,4,5
RV0042798,O0042821,C003940,3,3
RV0033849,O0033864,C004019,3,3
RV0041414,O0041436,C003768,4,3
RV0047786,O0047814,C002693,5,4
RV0005089,O0005091,C001618,5,5
RV0008454,O0008459,C003316,3,5
RV0041147,O0041169,C000791,3,4
RV0036362,O0036380,C004851,3,5
RV0036842,O0036860,C000662,3,3
RV0034632,O0034648,C003407,4,4
RV0017703,O0017712,C004271,5,4
RV0027362,O0027375,C004512,3,5
RV0021967,O0021977,C004549,5,5
RV0026280,O0026290,C001979,3,4
RV0007220,O0007223,C004239,3,4
RV0014194,O0014202,C000277,5,3
RV0039212,O0039232,C003143,3,4
RV0007514,O0007518,C000554,4,4
RV0049907,O0049937,C000872,3,5
RV0007122,O0007125,C000445,4,3
RV0036760,O0036778,C003671,4,4
RV0012429,O0012436,C003462,3,4
RV0049485,O0049515,C004269,5,3
RV0016196,O0016204,C003099,3,3
RV0040676,O0040698,C003078,4,4
RV0026522,O0026533,C003410,5,3
RV0030474,O0030487,C004790,5,5
RV0009430,O0009435,C002946,5,5
RV0002213,O0002214,C003774,3,4
RV0004348,O0004349,C004114,5,4
RV0028855,O0028868,C001182,4,4
RV0032707,O0032722,C004383,5,5
RV0033602,O0033617,C003821,4,3
RV0042329,O0042351,C000957,5,5
RV0019214,O0019224,C004163,4,3
RV0046650,O0046677,C003950,4,5
RV0024683,O0024693,C001272,3,5
RV0019696,O0019706,C000484,4,5
RV0049687,O0049717,C001352,4,3
RV0038279,O0038297,C002211,4,3
RV0008180,O0008185,C002602,5,3
RV0044763,O0044788,C004859,3,4
RV0035691,O0035707,C004372,5,3
RV0042974,O0042997,C004186,4,3
RV0019287,O0019297,C004616,3,5
RV0000821,O0000822,C004331,5,4
RV0026007,O0026017,C001393,4,3
RV0027298,O0027311,C001437,3,3
RV0014446,O0014454,C000036,4,3
RV0040732,O0040754,C001784,3,4
RV0020480,O0020490,C002009,3,3
RV0027401,O0027414,C002038,5,5
RV0045313,O0045338,C004380,4,3
RV0026054,O0026064,C003495,5,5
RV0009932,O0009937,C000605,5,3
RV0024422,O0024432,C000626,3,4
RV0043084,O0043108,C002940,4,4
RV0016158,O0016166,C002727,4,5
RV0006427,O0006430,C002214,3,4
RV0038214,O0038232,C002928,4,5
RV0044707,O0044732,C003478,4,4
RV0042597,O0042620,C004117,5,5
RV0003053,O0003054,C003317,4,4
RV0045870,O0045896,C001052,4,3
RV0044830,O0044855,C003551,5,3
RV0028654,O0028667,C002733,5,5
RV0042362,O0042384,C004572,5,5
RV0017896,O0017906,C000944,3,3
RV0023403,O0023413,C001550,4,4
RV0009011,O0009016,C003122,5,4
RV0006946,O0006949,C004110,3,5
RV0043991,O0044015,C001635,5,5
RV0046220,O0046246,C000262,4,5
RV0000628,O0000629,C000781,5,3
RV0029207,O0029220,C002738,3,3
RV0038051,O0038069,C003616,3,3
RV0011029,O0011035,C003463,3,4
RV0026136,O0026146,C002479,5,4
RV0006965,O0006968,C004557,5,4
RV0048141,O0048169,C004530,5,3
RV0010192,O0010197,C002079,4,5
RV0002996,O0002997,C001282,5,5
RV0048363,O0048391,C002121,4,4
RV0038146,O0038164,C002635,4,4
RV0044667,O0044692,C001492,4,3
RV0016124,O0016132,C001813,5,5
RV0007321,O0007324,C003386,4,5
RV0022136,O0022146,C002979,3,3
RV0008435,O0008440,C002333,5,3
RV0012957,O0012964,C000880,3,3
RV0030051,O0030064,C001815,3,4
RV0004805,O0004807,C003606,4,4
RV0010166,O0010171,C003283,5,3
RV0035881,O0035897,C003268,4,3
RV0030250,O0030263,C003296,5,4
RV0017176,O0017184,C002376,4,5
RV0043107,O0043131,C004084,4,3
